cpu,client,node,run,min,mean,median,90th,99th,max,std
36,1,1,1,333,626.20,550,720,720,1384,270.14
36,10,1,1,357,570.80,520,720,720,897,150.36
36,10,2,1,413,558.30,590,640,640,644,82.54
36,10,3,1,429,549.80,545,620,620,695,71.44
36,10,4,1,489,575.90,540,740,740,761,92.88
36,10,5,1,494,565.60,546,640,640,688,56.56
36,10,6,1,404,538.50,550,586,586,587,49.85
36,10,7,1,474,561.00,526,620,620,810,93.52
36,10,8,1,467,559.00,550,660,660,674,67.67
36,10,9,1,400,559.80,550,640,640,687,78.80
36,10,10,1,456,565.10,550,630,630,718,72.41
36,100,1,1,506,575.10,540,660,660,680,65.20
36,100,2,1,355,551.10,540,650,650,668,83.91
36,100,3,1,405,547.40,530,620,620,680,70.43
36,100,4,1,447,561.70,540,630,630,712,69.24
36,100,5,1,492,553.10,536,650,650,669,54.25
36,100,6,1,402,568.80,590,660,660,663,87.56
36,100,7,1,357,555.10,540,660,660,687,89.49
36,100,8,1,223,731.80,610,1100,1100,1998,468.78
36,100,9,1,418,563.10,570,640,640,663,64.36
36,100,10,1,455,552.70,530,650,650,748,81.74
36,100,11,1,294,541.30,535,640,640,679,97.29
36,100,12,1,424,546.50,510,640,640,685,82.31
36,100,13,1,455,565.00,566,600,600,703,60.94
36,100,14,1,486,570.30,570,640,640,699,61.24
36,100,15,1,383,552.50,553,680,680,686,85.81
36,100,16,1,344,564.90,530,780,780,937,162.39
36,100,17,1,422,553.20,540,600,600,761,85.92
36,100,18,1,404,549.70,540,640,640,682,80.18
36,100,19,1,287,544.70,540,630,630,712,106.77
36,100,20,1,263,544.50,555,640,640,681,107.32
36,100,21,1,433,544.90,550,600,600,656,62.45
36,100,22,1,430,566.80,550,630,630,675,66.67
36,100,23,1,412,563.90,560,670,670,744,97.37
36,100,24,1,384,550.30,500,720,720,764,120.98
36,100,25,1,370,554.70,560,630,630,641,71.80
36,100,26,1,437,548.00,520,570,570,885,119.52
36,100,27,1,429,548.80,540,630,630,651,67.52
36,100,28,1,305,542.20,560,620,620,767,114.13
36,100,29,1,423,581.30,570,685,685,688,80.47
36,100,30,1,359,545.20,520,665,665,665,89.82
36,100,31,1,418,572.70,575,600,600,797,90.02
36,100,32,1,319,556.30,520,710,710,748,145.26
36,100,33,1,386,565.70,550,640,640,790,99.20
36,100,34,1,341,554.80,555,670,670,682,89.81
36,100,35,1,409,566.60,560,650,650,714,90.41
36,100,36,1,452,563.30,540,630,630,809,97.72
36,100,37,1,404,552.60,540,680,680,697,88.24
36,100,38,1,342,573.40,590,690,690,772,122.46
36,100,39,1,413,561.30,575,650,650,674,75.09
36,100,40,1,425,551.90,530,610,610,741,77.90
36,100,41,1,388,571.10,610,670,670,703,102.62
36,100,42,1,357,552.00,550,630,630,734,91.87
36,100,43,1,432,562.80,560,630,630,638,62.71
36,100,44,1,403,569.40,570,640,640,742,95.56
36,100,45,1,359,565.30,580,660,660,847,126.21
36,100,46,1,424,562.80,570,640,640,711,77.77
36,100,47,1,472,559.10,547,590,590,727,63.75
36,100,48,1,360,552.80,550,690,690,716,101.89
36,100,49,1,320,553.80,580,710,710,734,127.78
36,100,50,1,461,584.10,580,650,650,715,64.98
36,100,51,1,445,543.90,535,590,590,712,69.58
36,100,52,1,426,603.80,580,770,770,776,133.70
36,100,53,1,393,560.10,560,660,660,689,86.29
36,100,54,1,371,557.50,530,680,680,811,128.70
36,100,55,1,272,544.70,540,800,800,815,164.66
36,100,56,1,393,559.80,515,720,720,874,138.91
36,100,57,1,440,552.90,530,660,660,684,71.48
36,100,58,1,443,571.90,535,670,670,861,111.84
36,100,59,1,381,549.10,490,710,710,745,124.77
36,100,60,1,417,552.90,550,640,640,681,76.54
36,100,61,1,297,539.10,535,690,690,800,129.80
36,100,62,1,302,570.30,622,640,640,683,102.83
36,100,63,1,422,581.80,530,710,710,737,103.43
36,100,64,1,368,565.30,530,780,780,845,148.17
36,100,65,1,444,569.20,540,680,680,732,91.51
36,100,66,1,344,569.70,530,800,800,861,169.62
36,100,67,1,324,537.30,540,620,620,638,80.18
36,100,68,1,302,550.10,550,720,720,745,129.42
36,100,69,1,284,560.40,540,760,760,788,140.24
36,100,70,1,432,548.30,525,680,680,715,83.70
36,100,71,1,379,557.40,570,680,680,697,95.96
36,100,72,1,273,565.50,580,700,700,784,136.14
36,100,73,1,432,549.80,535,620,620,642,60.37
36,100,74,1,316,577.30,540,700,700,877,143.60
36,100,75,1,418,549.30,540,580,580,801,99.66
36,100,76,1,325,553.90,540,680,680,834,140.29
36,100,77,1,281,556.70,590,700,700,708,119.92
36,100,78,1,322,563.80,550,775,775,778,155.71
36,100,79,1,341,542.70,555,640,640,675,95.03
36,100,80,1,321,552.50,560,670,670,720,100.99
36,100,81,1,403,560.50,480,710,710,930,162.03
36,100,82,1,391,552.10,520,690,690,977,161.21
36,100,83,1,238,553.90,490,820,820,866,190.14
36,100,84,1,245,543.30,540,730,730,793,143.36
36,100,85,1,239,587.50,620,730,730,959,204.80
36,100,86,1,430,566.70,560,660,660,805,105.77
36,100,87,1,326,584.20,520,720,720,909,164.25
36,100,88,1,442,555.80,520,670,670,739,91.53
36,100,89,1,265,575.10,570,980,980,1041,243.61
36,100,90,1,213,577.80,550,790,790,980,192.83
36,100,91,1,254,558.60,510,710,710,848,157.21
36,100,92,1,227,554.40,510,890,890,985,235.06
36,100,93,1,352,551.80,550,660,660,663,94.55
36,100,94,1,341,601.00,505,880,880,941,209.02
36,100,95,1,427,553.60,505,670,670,829,116.19
36,100,96,1,245,570.00,550,740,740,1018,195.01
36,100,97,1,366,545.60,530,725,725,723,110.97
36,100,98,1,270,577.10,565,740,740,835,149.94
36,100,99,1,287,580.60,530,720,720,790,147.08
36,100,100,1,303,632.10,560,830,830,929,181.75
36,30,1,1,442,554.00,535,650,650,686,68.57
36,30,2,1,408,547.40,540,590,590,735,80.21
36,30,3,1,437,554.20,555,600,600,724,73.90
36,30,4,1,332,557.50,550,670,670,695,97.40
36,30,5,1,413,560.70,550,700,700,705,93.30
36,30,6,1,368,543.70,535,650,650,677,79.87
36,30,7,1,464,552.30,520,640,640,800,93.10
36,30,8,1,385,555.40,540,650,650,792,113.39
36,30,9,1,390,556.90,550,690,690,769,110.65
36,30,10,1,443,550.30,535,635,635,637,61.24
36,30,11,1,288,531.70,530,600,600,711,100.40
36,30,12,1,508,569.00,540,650,650,723,65.47
36,30,13,1,367,561.70,540,670,670,814,111.54
36,30,14,1,388,542.40,530,620,620,673,73.97
36,30,15,1,485,553.00,533,610,610,783,83.00
36,30,16,1,280,548.90,550,690,690,693,106.97
36,30,17,1,461,558.30,530,700,700,715,83.45
36,30,18,1,301,538.80,540,590,590,806,118.88
36,30,19,1,493,560.80,545,610,610,736,69.63
36,30,20,1,451,539.40,545,620,620,637,64.62
36,30,21,1,270,541.00,550,680,680,691,113.31
36,30,22,1,304,542.50,550,640,640,683,92.83
36,30,23,1,380,549.30,530,610,610,830,110.73
36,30,24,1,356,548.10,565,640,640,743,102.44
36,30,25,1,343,532.80,510,630,630,737,99.31
36,30,26,1,282,549.30,540,680,680,740,113.02
36,30,27,1,449,552.40,540,690,690,727,83.30
36,30,28,1,321,548.00,535,720,720,720,105.66
36,30,29,1,298,541.80,535,670,670,682,103.13
36,30,30,1,264,535.20,540,610,610,745,111.73
36,50,1,1,477,567.00,550,620,620,659,54.33
36,50,2,1,428,549.40,540,600,600,654,55.97
36,50,3,1,391,556.80,550,650,650,707,81.23
36,50,4,1,362,556.90,580,630,630,653,78.81
36,50,5,1,359,573.10,550,720,720,847,128.60
36,50,6,1,365,551.50,540,630,630,730,89.97
36,50,7,1,439,555.40,540,690,690,773,98.22
36,50,8,1,403,550.30,560,630,630,676,73.60
36,50,9,1,482,555.80,530,620,620,773,79.62
36,50,10,1,335,545.40,540,600,600,696,84.54
36,50,11,1,284,539.60,550,650,650,685,102.38
36,50,12,1,404,549.80,530,610,610,769,90.87
36,50,13,1,476,598.40,536,690,690,923,125.18
36,50,14,1,415,545.80,530,680,680,707,84.83
36,50,15,1,381,543.50,530,640,640,707,83.15
36,50,16,1,366,544.90,540,630,630,681,83.02
36,50,17,1,460,545.30,520,620,620,766,83.85
36,50,18,1,458,562.50,536,630,630,766,81.49
36,50,19,1,409,553.50,550,690,690,721,97.93
36,50,20,1,441,570.80,530,700,700,732,97.39
36,50,21,1,435,560.90,540,740,740,762,105.02
36,50,22,1,438,554.80,540,620,620,688,62.41
36,50,23,1,475,563.90,540,620,620,708,64.32
36,50,24,1,283,538.00,546,630,630,692,103.09
36,50,25,1,321,538.60,540,630,630,663,85.75
36,50,26,1,423,557.10,530,620,620,889,123.21
36,50,27,1,295,535.40,530,640,640,651,95.23
36,50,28,1,489,609.50,550,820,820,894,129.68
36,50,29,1,426,566.90,530,710,710,774,98.70
36,50,30,1,401,561.00,515,680,680,856,129.25
36,50,31,1,417,551.80,535,670,670,703,90.23
36,50,32,1,418,545.40,550,650,650,685,79.88
36,50,33,1,336,565.60,580,660,660,763,115.81
36,50,34,1,266,563.10,570,710,710,813,155.79
36,50,35,1,500,554.50,520,610,610,732,67.94
36,50,36,1,435,561.20,550,650,650,696,83.46
36,50,37,1,356,533.20,500,660,660,722,107.77
36,50,38,1,374,556.40,540,670,670,769,107.50
36,50,39,1,331,548.40,560,700,700,702,107.23
36,50,40,1,307,552.50,570,710,710,774,158.47
36,50,41,1,468,555.80,530,670,670,672,69.86
36,50,42,1,388,548.90,553,670,670,705,83.12
36,50,43,1,450,551.20,550,660,660,678,67.16
36,50,44,1,328,548.70,510,690,690,708,116.04
36,50,45,1,324,553.70,560,655,655,659,97.21
36,50,46,1,265,540.70,560,650,650,663,117.49
36,50,47,1,461,548.50,530,600,600,691,59.97
36,50,48,1,304,542.20,550,700,700,721,114.65
36,50,49,1,457,555.70,530,620,620,750,80.42
36,50,50,1,494,555.20,530,610,610,675,54.47
36,80,1,1,397,575.30,520,780,780,1053,185.73
36,80,2,1,241,563.20,530,790,790,886,162.67
36,80,3,1,393,566.90,543,770,770,781,112.72
36,80,4,1,458,557.20,530,620,620,733,74.00
36,80,5,1,490,555.70,550,620,620,652,44.72
36,80,6,1,436,547.00,530,610,610,701,66.79
36,80,7,1,411,544.10,540,610,610,696,69.18
36,80,8,1,379,545.70,540,660,660,699,95.14
36,80,9,1,432,594.80,580,680,680,844,114.02
36,80,10,1,337,505.70,510,550,550,596,63.21
36,80,11,1,462,557.70,520,700,700,732,84.20
36,80,12,1,337,545.00,560,660,660,665,94.45
36,80,13,1,336,556.70,540,680,680,746,106.48
36,80,14,1,316,602.50,520,690,690,1294,250.75
36,80,15,1,364,577.20,530,750,750,817,123.72
36,80,16,1,458,551.60,540,620,620,685,71.87
36,80,17,1,483,567.20,550,660,660,708,69.45
36,80,18,1,398,537.70,530,630,630,774,101.25
36,80,19,1,409,557.60,560,630,630,834,115.48
36,80,20,1,423,537.60,540,600,600,607,52.09
36,80,21,1,389,555.40,550,620,620,686,79.58
36,80,22,1,386,550.60,545,620,620,651,68.14
