cpu,client,node,run,min,mean,median,90th,99th,max,std
36,1,1,1,342,589.90,520,660,660,1033,178.75
36,10,1,1,329,601.10,520,960,960,1099,223.11
36,10,2,1,269,590.30,540,730,730,963,173.29
36,10,3,1,348,534.10,530,590,590,657,78.28
36,10,4,1,363,537.90,535,640,640,652,77.65
36,10,5,1,422,549.20,550,640,640,647,65.57
36,10,6,1,369,561.40,540,650,650,723,91.56
36,10,7,1,398,552.90,535,640,640,669,72.58
36,10,8,1,512,544.30,540,580,580,606,28.22
36,10,9,1,313,545.00,550,660,660,704,102.01
36,10,10,1,255,539.40,540,660,660,751,123.23
36,100,1,1,434,556.20,550,620,620,778,94.58
36,100,2,1,458,553.50,530,620,620,797,91.45
36,100,3,1,309,562.00,580,710,710,725,123.25
36,100,4,1,427,560.10,530,670,670,701,92.44
36,100,5,1,430,569.30,530,660,660,756,93.81
36,100,6,1,495,556.80,530,610,610,732,67.14
36,100,7,1,437,558.00,550,650,650,829,107.38
36,100,8,1,264,565.20,610,685,685,681,130.74
36,100,9,1,478,579.30,545,740,740,783,95.43
36,100,10,1,419,566.00,590,630,630,634,63.58
36,100,11,1,405,547.10,556,610,610,632,61.71
36,100,12,1,399,562.20,550,670,670,710,89.66
36,100,13,1,384,560.80,580,650,650,734,99.69
36,100,14,1,267,576.10,593,620,620,927,154.03
36,100,15,1,399,551.60,520,690,690,815,127.98
36,100,16,1,465,565.20,565,620,620,694,64.21
36,100,17,1,364,582.60,520,770,770,784,132.18
36,100,18,1,349,553.20,560,630,630,702,96.73
36,100,19,1,404,552.00,575,620,620,741,93.00
36,100,20,1,481,600.10,560,700,700,812,92.53
36,100,21,1,321,644.00,600,860,860,960,205.66
36,100,22,1,269,593.00,565,660,660,1266,250.07
36,100,23,1,465,561.10,530,660,660,685,73.32
36,100,24,1,411,558.70,570,670,670,706,93.88
36,100,25,1,265,573.60,560,760,760,1085,211.16
36,100,26,1,230,561.20,570,690,690,733,144.16
36,100,27,1,432,562.80,510,660,660,839,116.55
36,100,28,1,376,565.60,510,680,680,730,106.56
36,100,29,1,369,562.20,530,780,780,786,129.97
36,100,30,1,368,604.20,580,750,750,996,163.93
36,100,31,1,236,575.80,510,780,780,1059,228.43
36,100,32,1,446,593.70,590,690,690,737,92.20
36,100,33,1,369,609.10,560,800,800,909,163.23
36,100,34,1,406,565.20,580,630,630,656,67.90
36,100,35,1,237,560.60,530,810,810,978,198.20
36,100,36,1,353,546.20,540,680,680,698,100.63
36,100,37,1,291,595.80,570,700,700,1239,252.43
36,100,38,1,309,544.70,520,740,740,890,160.89
36,100,39,1,412,543.50,490,720,720,777,118.33
36,100,40,1,231,593.60,600,880,880,913,205.78
36,100,41,1,321,558.00,550,650,650,713,100.39
36,100,42,1,393,562.70,510,590,590,1060,176.27
36,100,43,1,394,585.70,550,790,790,857,136.47
36,100,44,1,365,568.80,520,730,730,1034,191.01
36,100,45,1,365,570.20,510,800,800,859,164.46
36,100,46,1,309,571.40,530,770,770,823,150.95
36,100,47,1,334,555.60,570,680,680,685,115.64
36,100,48,1,388,543.70,510,640,640,794,109.00
36,100,49,1,189,579.40,560,770,770,920,192.48
36,100,50,1,284,565.70,570,740,740,827,151.22
36,100,51,1,405,581.10,570,730,730,740,103.21
36,100,52,1,382,589.00,590,765,765,763,128.66
36,100,53,1,450,559.80,520,680,680,779,101.74
36,100,54,1,396,551.10,540,660,660,750,105.25
36,100,55,1,439,582.50,520,690,690,972,151.18
36,100,56,1,329,627.80,600,820,820,1178,240.26
36,100,57,1,182,582.30,565,890,890,896,248.45
36,100,58,1,347,568.20,550,700,700,790,121.00
36,100,59,1,369,721.10,550,890,890,1973,439.44
36,100,60,1,383,628.30,590,840,840,1017,189.07
36,100,61,1,399,564.50,550,680,680,748,103.44
36,100,62,1,234,592.40,590,825,825,825,183.05
36,100,63,1,254,565.80,500,880,880,909,231.61
36,100,64,1,315,635.50,600,810,810,1140,212.11
36,100,65,1,363,542.80,480,710,710,797,123.97
36,100,66,1,400,591.40,580,730,730,742,114.62
36,100,67,1,341,654.10,610,860,860,1191,243.46
36,100,68,1,400,607.80,540,860,860,960,177.76
36,100,69,1,289,585.70,600,760,760,781,156.58
36,100,70,1,253,593.00,605,760,760,991,202.27
36,100,71,1,456,731.60,570,1200,1200,1821,410.81
36,100,72,1,444,582.40,540,740,740,892,126.02
36,100,73,1,330,561.60,525,750,750,902,167.41
36,100,74,1,417,609.30,555,840,840,897,153.67
36,100,75,1,301,593.40,620,766,766,769,151.25
36,100,76,1,422,574.60,570,630,630,824,107.97
