cpu,client,node,run,min,mean,median,90th,99th,max,std
36,1,1,1,313,602.80,550,850,850,1035,211.61
36,10,1,1,423,611.30,520,710,710,1245,225.19
36,10,2,1,484,558.00,520,660,660,768,85.93
36,10,3,1,517,561.70,550,600,600,666,45.72
36,10,4,1,409,555.90,535,705,705,704,92.73
36,10,5,1,388,548.00,550,620,620,674,71.77
36,10,6,1,416,567.40,590,610,610,710,73.06
36,10,7,1,482,560.90,550,610,610,657,46.09
36,10,8,1,308,551.50,540,760,760,835,142.43
36,10,9,1,321,542.40,536,640,640,643,87.46
36,10,10,1,282,546.60,550,675,675,676,103.85
36,100,1,1,202,561.00,555,660,660,902,164.34
36,100,2,1,443,564.60,550,620,620,721,70.41
36,100,3,1,484,618.20,520,660,660,1335,244.52
36,100,4,1,330,559.70,545,620,620,856,124.26
36,100,5,1,388,548.50,540,620,620,646,66.67
36,100,6,1,239,551.00,540,670,670,766,131.36
36,100,7,1,478,566.20,550,610,610,716,62.14
36,100,8,1,340,531.70,530,600,600,668,80.91
36,100,9,1,494,574.00,535,570,570,937,122.59
36,100,10,1,380,546.70,550,640,640,674,80.94
36,100,11,1,514,546.70,533,560,560,671,43.54
36,100,12,1,384,552.20,530,700,700,730,101.24
36,100,13,1,294,530.60,540,635,635,639,89.97
36,100,14,1,320,606.00,540,700,700,1241,229.45
36,100,15,1,469,565.30,550,650,650,753,83.77
36,100,16,1,391,543.00,520,640,640,693,87.53
36,100,17,1,450,561.60,560,690,690,704,80.45
36,100,18,1,456,558.80,540,700,700,704,87.48
36,100,19,1,399,570.50,560,760,760,778,123.55
36,100,20,1,382,570.50,580,650,650,746,95.93
36,100,21,1,446,554.50,533,650,650,759,81.63
36,100,22,1,422,556.20,540,650,650,675,71.50
36,100,23,1,280,551.00,530,690,690,714,119.36
36,100,24,1,462,562.40,580,670,670,676,72.18
36,100,25,1,339,554.20,555,620,620,724,90.69
36,100,26,1,330,538.20,545,660,660,674,94.74
36,100,27,1,256,548.30,526,690,690,868,154.86
36,100,28,1,451,573.30,520,700,700,829,112.22
36,100,29,1,363,544.70,540,650,650,671,80.30
36,100,30,1,453,552.90,540,640,640,650,63.18
36,100,31,1,459,549.20,545,600,600,666,53.72
36,100,32,1,366,562.80,535,730,730,774,116.87
36,100,33,1,378,558.70,535,770,770,793,125.20
36,100,34,1,374,560.40,540,740,740,805,127.49
36,100,35,1,385,547.60,530,650,650,683,78.08
36,100,36,1,480,565.70,560,660,660,714,74.68
36,100,37,1,454,550.40,535,660,660,712,72.96
36,100,38,1,304,543.60,520,750,750,789,150.29
36,100,39,1,493,557.40,540,610,610,688,56.25
36,100,40,1,412,554.50,530,630,630,646,73.97
36,100,41,1,295,553.40,560,670,670,721,105.51
36,100,42,1,235,881.80,515,670,670,4317,1150.71
36,100,43,1,411,566.30,540,690,690,703,85.56
36,100,44,1,441,574.20,580,670,670,696,86.03
36,100,45,1,393,552.30,550,630,630,688,75.79
36,100,46,1,359,559.00,530,690,690,871,147.73
36,100,47,1,301,558.60,570,620,620,688,95.99
36,100,48,1,378,541.30,520,680,680,767,107.50
36,100,49,1,350,548.20,510,670,670,700,97.87
36,100,50,1,376,1402.40,605,770,770,8702,2435.79
36,100,51,1,412,563.40,520,700,700,753,99.02
36,100,52,1,402,559.20,540,650,650,865,123.16
36,100,53,1,364,551.90,550,680,680,687,95.91
36,100,54,1,503,569.30,550,685,685,683,63.09
36,100,55,1,491,598.80,560,730,730,839,101.12
36,100,56,1,266,536.20,555,710,710,776,141.30
36,100,57,1,439,567.50,530,730,730,805,110.04
36,100,58,1,354,556.50,535,700,700,752,114.75
36,100,59,1,405,566.50,510,800,800,817,129.57
36,100,60,1,388,551.70,530,660,660,826,112.85
36,100,61,1,407,586.90,550,730,730,736,107.68
36,100,62,1,292,549.40,565,610,610,731,104.00
36,100,63,1,383,560.00,560,660,660,720,92.48
36,100,64,1,447,593.30,590,680,680,811,103.77
36,100,65,1,317,570.00,610,705,705,707,117.89
36,100,66,1,298,543.30,555,660,660,664,96.93
36,100,67,1,491,612.10,535,790,790,1047,166.02
36,100,68,1,323,562.90,550,710,710,789,116.82
36,100,69,1,307,546.40,510,780,780,798,158.11
36,100,70,1,343,546.20,550,650,650,662,85.58
36,100,71,1,438,553.30,540,640,640,779,101.70
36,100,72,1,416,613.50,580,790,790,926,158.35
36,100,73,1,477,592.40,570,670,670,815,87.02
36,100,74,1,399,559.20,500,670,670,763,111.21
36,100,75,1,212,949.10,555,760,760,4786,1286.30
36,100,76,1,349,557.50,575,620,620,718,94.99
36,100,77,1,352,563.80,550,720,720,730,107.20
36,100,78,1,343,554.40,565,660,660,737,110.97
36,100,79,1,298,615.20,610,770,770,809,148.84
36,100,80,1,225,551.20,520,800,800,811,174.92
36,100,81,1,365,555.00,530,640,640,748,98.17
36,100,82,1,269,1096.10,570,840,840,6008,1644.29
36,100,83,1,483,582.60,545,720,720,769,96.10
36,100,84,1,395,1669.00,580,1100,1100,11110,3151.14
36,100,85,1,398,557.40,520,700,700,870,125.75
36,100,86,1,441,565.10,540,680,680,733,86.11
36,100,87,1,386,602.50,530,780,780,920,159.25
36,100,88,1,407,572.30,520,720,720,927,142.21
36,100,89,1,246,581.50,560,820,820,835,167.21
36,100,90,1,454,596.30,560,690,690,855,111.74
36,100,91,1,238,559.40,580,860,860,929,229.03
36,100,92,1,419,569.30,575,650,650,656,66.73
36,100,93,1,321,567.20,500,820,820,845,159.21
36,100,94,1,386,586.20,540,800,800,831,146.56
36,100,95,1,339,559.30,540,570,570,1063,180.30
36,100,96,1,354,566.00,550,730,730,763,119.67
36,100,97,1,376,569.80,550,710,710,752,110.74
36,100,98,1,405,581.80,530,740,740,748,131.10
36,100,99,1,395,1112.00,560,980,980,5770,1565.61
36,100,100,1,377,575.90,520,720,720,800,124.60
36,30,1,1,462,558.90,520,670,670,700,83.77
36,30,2,1,337,562.30,510,790,790,814,143.73
36,30,3,1,459,563.60,530,700,700,724,83.50
36,30,4,1,400,547.40,570,620,620,623,67.97
36,30,5,1,262,575.30,500,660,660,1186,229.69
36,30,6,1,367,639.70,535,650,650,1681,355.75
36,30,7,1,405,562.30,545,670,670,761,94.82
36,30,8,1,416,572.20,520,720,720,784,120.26
36,30,9,1,514,570.60,528,600,600,843,94.71
36,30,10,1,383,556.60,530,690,690,739,99.74
36,30,11,1,402,546.70,500,700,700,773,110.55
36,30,12,1,326,541.90,520,640,640,706,94.50
36,30,13,1,248,551.00,560,660,660,664,124.13
36,30,14,1,377,554.60,520,700,700,940,154.21
36,30,15,1,420,566.20,560,610,610,821,103.78
36,30,16,1,394,548.10,540,630,630,694,84.87
36,30,17,1,403,547.10,530,660,660,679,84.38
36,30,18,1,355,540.60,546,630,630,658,76.49
36,30,19,1,351,545.30,543,620,620,694,85.99
36,30,20,1,453,555.90,535,680,680,766,91.76
36,30,21,1,313,538.70,536,630,630,709,93.70
36,30,22,1,433,556.70,530,660,660,795,98.35
36,30,23,1,297,531.50,540,640,640,647,93.25
36,30,24,1,217,551.60,540,680,680,854,150.19
36,30,25,1,429,557.20,540,650,650,735,79.95
36,30,26,1,371,557.80,560,690,690,806,115.66
36,30,27,1,419,549.20,535,650,650,670,67.34
36,30,28,1,397,554.40,540,640,640,642,68.27
36,30,29,1,353,541.60,520,640,640,659,83.95
36,30,30,1,393,546.70,555,620,620,666,72.48
36,50,1,1,429,544.40,540,615,615,615,62.56
36,50,2,1,431,570.10,550,720,720,783,100.36
36,50,3,1,417,594.70,630,760,760,796,139.87
36,50,4,1,292,543.80,530,640,640,679,100.29
36,50,5,1,445,5154.00,570,730,730,46372,13739.63
36,50,6,1,310,552.00,580,660,660,674,100.37
36,50,7,1,438,552.00,530,640,640,710,77.55
36,50,8,1,397,553.00,530,600,600,719,78.05
36,50,9,1,402,551.50,535,670,670,734,96.34
36,50,10,1,452,553.10,530,650,650,667,70.76
36,50,11,1,368,562.20,545,720,720,805,119.27
36,50,12,1,292,544.80,555,630,630,708,99.92
36,50,13,1,484,559.50,540,630,630,655,54.63
36,50,14,1,385,544.60,530,660,660,688,84.39
36,50,15,1,326,554.30,540,685,685,685,102.86
36,50,16,1,396,546.30,535,630,630,668,70.56
36,50,17,1,449,557.70,545,590,590,807,91.69
36,50,18,1,474,570.70,555,640,640,729,69.63
36,50,19,1,384,553.40,500,680,680,890,137.92
36,50,20,1,377,550.90,540,650,650,703,82.17
36,50,21,1,369,548.70,570,610,610,678,84.48
36,50,22,1,318,533.20,530,650,650,718,98.29
36,50,23,1,344,554.80,555,670,670,697,89.74
36,50,24,1,293,546.60,560,580,580,794,113.88
36,50,25,1,424,559.50,540,570,570,885,115.96
36,50,26,1,405,555.80,530,590,590,892,124.33
36,50,27,1,422,548.40,535,640,640,736,79.30
36,50,28,1,506,575.70,575,650,650,655,45.58
36,50,29,1,439,561.20,540,680,680,737,92.75
36,50,30,1,251,4533.00,550,680,680,40476,11981.53
36,50,31,1,284,546.70,540,710,710,730,120.35
36,50,32,1,361,543.90,510,720,720,745,120.21
36,50,33,1,256,538.90,550,640,640,640,101.67
36,50,34,1,330,545.80,540,630,630,757,104.02
36,50,35,1,300,533.40,536,610,610,656,87.56
36,50,36,1,440,553.90,530,650,650,655,64.81
36,50,37,1,412,546.40,530,600,600,691,71.19
36,50,38,1,392,541.10,530,650,650,683,78.57
