cpu,client,run,iface,rxpck/s,txpck/s,rxkB/s,txkB/s
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,3.00,0.00,0.73,0.00
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,0.00,0.00,0.00,0.00
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,3.00,0.00,0.73,0.00
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,0.00,0.00,0.00,0.00
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,2271.00,2269.00,2263.22,2322.16
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,592.00,1682.00,132.76,2137.32
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,25962.00,25959.00,31174.58,32193.56
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3919.00,22044.00,444.54,30959.09
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26833.00,26830.00,32725.08,33810.66
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3781.00,23049.00,354.47,32621.48
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26875.00,26873.00,32738.47,33821.55
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3817.00,23056.00,357.84,32629.69
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26639.00,26446.00,32470.95,33269.95
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3765.00,22681.00,352.97,32096.72
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26118.00,26306.00,31792.65,33120.31
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3722.00,22579.00,348.94,31953.81
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26769.00,26767.00,32600.02,33679.78
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3783.00,22959.00,354.66,32492.64
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26806.00,26804.00,32723.08,33810.14
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3754.00,23050.00,351.94,32622.66
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26858.00,26856.00,32738.21,33822.77
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3798.00,23058.00,356.06,32632.03
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26898.00,26897.00,32745.41,33827.79
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3833.00,23060.00,359.34,32634.38
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26801.00,26798.00,32611.24,33687.73
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3834.00,22964.00,359.44,32498.50
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26119.00,26019.00,31915.03,32838.06
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3629.00,22390.00,340.22,31685.57
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26638.00,26733.00,32345.77,33548.88
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3863.00,22867.00,362.16,32361.45
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26919.00,26916.00,32743.31,33823.16
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3861.00,23055.00,361.97,32628.52
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26836.00,26834.00,32737.28,33823.68
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3774.00,23060.00,353.81,32634.38
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26890.00,26887.00,32744.48,33827.09
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3827.00,23060.00,358.78,32634.38
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26888.00,26886.00,32636.24,33708.48
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3909.00,22977.00,366.47,32513.73
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26519.00,26517.00,32335.74,33408.15
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3738.00,22777.00,350.44,32232.60
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26283.00,26271.00,32052.29,33114.60
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3695.00,22576.00,346.41,31950.29
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26877.00,26882.00,32629.61,33702.42
36,1,1,eno2,0.00,0.00,0.00,0.00
