cpu,client,node,run,min,mean,median,90th,99th,max,std
36,1,1,1,445,585.10,580,690,690,702,90.89
36,10,1,1,347,542.30,545,610,610,738,93.73
36,10,2,1,359,544.90,540,610,610,680,77.94
36,10,3,1,477,553.70,526,650,650,680,64.12
36,10,4,1,288,540.60,530,620,620,692,99.48
36,10,5,1,504,552.50,540,590,590,673,48.96
36,10,6,1,309,547.30,520,660,660,781,115.78
36,10,7,1,515,589.40,540,690,690,736,78.66
36,10,8,1,290,539.30,540,620,620,736,105.99
36,10,9,1,386,549.50,550,630,630,682,79.15
36,10,10,1,265,536.50,530,660,660,669,105.73
36,100,1,1,459,570.10,530,670,670,796,96.17
36,100,2,1,402,547.70,530,660,660,660,71.20
36,100,3,1,431,555.50,530,670,670,677,78.17
36,100,4,1,271,615.40,530,750,750,1402,289.81
36,100,5,1,439,546.10,520,650,650,729,91.25
36,100,6,1,440,554.60,530,660,660,760,94.02
36,100,7,1,429,558.50,540,670,670,701,85.62
36,100,8,1,483,632.40,546,800,800,1105,182.01
36,100,9,1,479,563.50,507,660,660,767,91.25
36,100,10,1,433,556.90,520,750,750,751,100.06
36,100,11,1,489,575.70,550,660,660,806,89.26
36,100,12,1,423,547.90,520,640,640,676,70.34
36,100,13,1,461,554.40,535,650,650,678,59.94
36,100,14,1,378,549.70,535,680,680,681,85.39
36,100,15,1,279,540.80,530,710,710,798,154.10
36,100,16,1,334,549.00,530,620,620,756,101.77
36,100,17,1,324,547.10,550,600,600,689,87.46
36,100,18,1,326,556.30,565,640,640,732,99.46
36,100,19,1,343,549.30,535,670,670,676,93.25
36,100,20,1,403,551.30,546,630,630,745,92.30
36,100,21,1,439,565.80,590,675,675,674,76.91
36,100,22,1,300,544.20,530,660,660,748,108.13
36,100,23,1,414,579.10,550,770,770,778,108.06
36,100,24,1,431,593.60,590,700,700,864,125.97
36,100,25,1,315,546.60,530,610,610,785,111.84
36,100,26,1,279,564.80,530,740,740,834,139.91
36,100,27,1,473,556.10,555,620,620,627,43.10
36,100,28,1,410,568.30,555,700,700,732,104.12
36,100,29,1,302,547.10,540,730,730,789,133.89
36,100,30,1,317,544.10,530,670,670,693,96.85
36,100,31,1,314,539.70,530,640,640,690,95.64
36,100,32,1,288,554.90,540,660,660,762,114.77
36,100,33,1,392,548.90,480,750,750,842,133.86
36,100,34,1,407,558.10,560,650,650,717,93.09
36,100,35,1,445,571.10,550,610,610,850,107.02
36,100,36,1,335,544.50,520,650,650,690,94.01
36,100,37,1,404,562.00,570,650,650,671,82.03
36,100,38,1,468,552.80,555,610,610,613,40.95
36,100,39,1,457,551.60,570,620,620,667,77.45
36,100,40,1,309,557.20,565,670,670,720,116.08
36,100,41,1,309,551.50,540,640,640,768,111.39
36,100,42,1,375,556.00,560,620,620,813,107.63
36,100,43,1,380,550.00,520,750,750,839,138.52
36,100,44,1,374,558.50,550,690,690,747,104.73
36,100,45,1,385,559.10,556,640,640,831,116.90
36,100,46,1,416,597.90,570,730,730,732,108.02
36,100,47,1,445,578.50,550,700,700,711,84.32
36,100,48,1,338,559.50,580,740,740,784,147.67
36,100,49,1,436,630.30,540,830,830,1182,213.87
36,100,50,1,335,551.90,560,630,630,679,89.96
36,100,51,1,264,557.00,510,730,730,847,162.06
36,100,52,1,484,565.40,520,640,640,905,120.81
36,100,53,1,313,540.40,520,740,740,968,182.10
36,100,54,1,393,550.30,535,660,660,750,96.78
36,100,55,1,299,545.40,550,620,620,677,95.26
36,100,56,1,277,556.20,590,660,660,750,134.31
36,100,57,1,382,556.20,545,650,650,771,99.57
36,100,58,1,399,557.30,540,600,600,889,126.63
36,100,59,1,283,550.80,570,640,640,870,154.20
36,100,60,1,456,569.60,550,670,670,790,96.58
36,100,61,1,360,566.00,520,750,750,770,130.22
36,100,62,1,450,539.40,540,610,610,640,54.60
36,100,63,1,354,547.10,570,630,630,681,89.63
36,100,64,1,303,559.70,550,620,620,904,139.69
36,100,65,1,335,566.40,580,720,720,751,139.63
36,100,66,1,308,560.00,550,730,730,739,127.57
36,100,67,1,374,572.20,570,650,650,808,114.63
36,100,68,1,228,565.10,545,680,680,1057,203.38
36,100,69,1,456,588.00,580,650,650,745,71.12
36,100,70,1,305,605.60,570,740,740,1050,191.58
36,100,71,1,316,537.30,530,710,710,818,146.09
36,100,72,1,329,570.80,580,740,740,791,134.22
36,100,73,1,356,555.20,545,720,720,760,113.43
36,100,74,1,345,574.40,570,700,700,799,129.99
36,100,75,1,363,579.00,540,810,810,946,178.17
36,100,76,1,409,629.90,590,890,890,1021,172.77
36,100,77,1,417,558.20,510,690,690,730,97.19
36,100,78,1,340,549.30,563,660,660,743,105.18
36,100,79,1,298,545.80,540,740,740,840,150.03
36,100,80,1,427,581.00,530,710,710,745,106.93
36,100,81,1,308,589.00,530,820,820,847,168.81
36,100,82,1,328,579.50,520,710,710,938,164.91
36,100,83,1,349,563.40,510,800,800,853,154.45
36,100,84,1,372,554.60,530,660,660,824,122.89
36,100,85,1,371,555.60,540,650,650,772,100.96
36,100,86,1,267,566.20,550,810,810,860,192.11
36,100,87,1,221,560.20,570,800,800,843,188.78
36,100,88,1,330,580.90,580,710,710,899,156.61
36,100,89,1,416,563.30,540,690,690,753,98.66
36,100,90,1,381,582.20,550,690,690,841,117.08
36,100,91,1,418,568.10,540,700,700,761,96.70
36,100,92,1,293,568.50,570,710,710,727,122.53
36,100,93,1,292,539.00,530,620,620,776,118.14
36,100,94,1,384,545.20,525,670,670,773,101.46
36,100,95,1,260,556.00,565,710,710,958,204.60
36,100,96,1,401,591.70,550,810,810,819,149.02
36,100,97,1,393,561.90,550,640,640,896,131.41
36,100,98,1,438,551.50,540,630,630,722,74.19
36,100,99,1,287,602.20,590,670,670,1047,181.81
36,100,100,1,325,581.80,530,840,840,891,185.00
36,30,1,1,165,592.10,510,1100,1100,1346,330.50
36,30,2,1,446,589.90,530,830,830,939,150.83
36,30,3,1,281,624.60,540,1050,1050,1067,235.03
36,30,4,1,356,546.50,510,670,670,705,101.91
36,30,5,1,339,544.40,540,610,610,703,86.47
36,30,6,1,340,537.30,530,620,620,656,82.42
36,30,7,1,397,575.40,580,740,740,746,108.39
36,30,8,1,417,537.70,520,640,640,737,86.19
36,30,9,1,403,547.90,570,610,610,717,82.39
36,30,10,1,387,553.30,540,620,620,769,92.93
36,30,11,1,384,548.20,540,600,600,764,89.63
36,30,12,1,465,561.70,540,610,610,861,106.78
36,30,13,1,391,544.50,535,635,635,632,69.98
36,30,14,1,317,544.70,530,640,640,662,95.04
36,30,15,1,353,546.20,535,630,630,770,103.95
36,30,16,1,386,557.40,540,630,630,673,77.72
36,30,17,1,439,562.60,535,650,650,775,90.74
36,30,18,1,323,544.80,550,690,690,706,115.59
36,30,19,1,338,557.60,540,690,690,692,110.67
36,30,20,1,369,541.50,540,610,610,668,79.58
36,30,21,1,325,565.20,540,780,780,824,156.33
36,30,22,1,218,553.90,555,760,760,765,153.65
36,30,23,1,302,534.60,520,650,650,789,138.33
36,30,24,1,367,556.60,560,670,670,693,87.30
36,30,25,1,462,552.30,535,650,650,749,82.48
36,30,26,1,308,559.00,520,820,820,848,170.18
36,30,27,1,295,544.20,540,630,630,724,104.13
36,30,28,1,318,555.90,580,710,710,716,128.93
36,30,29,1,455,560.20,530,680,680,680,68.29
36,30,30,1,300,538.90,530,610,610,796,113.61
36,50,1,1,444,566.20,560,620,620,742,75.01
36,50,2,1,434,592.70,540,740,740,804,109.81
36,50,3,1,385,575.40,565,730,730,815,148.03
36,50,4,1,184,658.30,540,630,630,2156,514.42
36,50,5,1,311,569.80,570,700,700,758,129.93
36,50,6,1,368,544.20,520,650,650,748,94.40
36,50,7,1,416,541.90,526,640,640,690,74.64
36,50,8,1,297,553.30,550,610,610,831,124.88
36,50,9,1,282,541.90,530,730,730,794,139.19
36,50,10,1,296,558.00,530,700,700,904,147.16
36,50,11,1,430,562.90,560,670,670,694,78.78
36,50,12,1,336,538.40,530,650,650,650,87.78
36,50,13,1,352,569.70,590,670,670,717,107.79
36,50,14,1,376,550.60,510,780,780,836,140.88
36,50,15,1,431,623.40,590,730,730,972,144.41
36,50,16,1,422,587.00,585,620,620,927,128.19
36,50,17,1,429,552.10,520,670,670,807,103.92
36,50,18,1,367,545.20,550,630,630,701,84.17
36,50,19,1,371,576.30,540,780,780,942,164.82
36,50,20,1,463,552.10,530,660,660,680,68.51
36,50,21,1,455,549.40,520,640,640,718,79.63
36,50,22,1,349,545.30,530,660,660,721,94.80
36,50,23,1,320,550.30,565,610,610,721,97.37
36,50,24,1,403,550.20,520,710,710,884,146.91
36,50,25,1,342,550.20,580,620,620,669,86.68
36,50,26,1,324,558.90,560,670,670,699,101.26
36,50,27,1,418,591.80,560,790,790,844,122.61
36,50,28,1,274,532.90,535,640,640,680,99.85
36,50,29,1,239,590.10,600,840,840,846,172.31
36,50,30,1,419,549.30,500,670,670,780,112.30
36,50,31,1,338,560.40,580,630,630,776,113.94
36,50,32,1,414,559.00,600,640,640,644,86.88
36,50,33,1,369,556.70,550,680,680,758,105.65
36,50,34,1,290,536.80,550,570,570,748,105.01
36,50,35,1,348,567.20,550,780,780,867,145.81
36,50,36,1,470,571.80,550,700,700,710,79.25
36,50,37,1,431,552.30,563,620,620,648,62.50
36,50,38,1,302,558.30,550,750,750,942,182.12
36,50,39,1,423,568.60,570,650,650,826,109.41
36,50,40,1,415,560.90,600,650,650,702,96.67
36,50,41,1,269,548.70,550,700,700,964,183.93
36,50,42,1,358,547.20,550,645,645,645,78.05
36,50,43,1,443,566.70,520,690,690,775,109.94
36,50,44,1,430,566.60,550,735,735,736,96.02
36,50,45,1,287,552.60,510,620,620,1104,200.98
36,50,46,1,374,538.30,535,640,640,652,77.11
36,50,47,1,312,549.40,570,670,670,678,113.92
36,50,48,1,384,544.50,500,695,695,697,109.98
36,50,49,1,388,548.10,550,630,630,718,91.33
36,50,50,1,396,555.40,550,645,645,647,71.35
36,80,1,1,394,560.80,550,680,680,720,100.23
36,80,2,1,429,732.10,550,730,730,2253,512.33
36,80,3,1,371,569.80,540,760,760,792,128.24
36,80,4,1,351,551.10,550,640,640,724,93.61
36,80,5,1,478,564.40,540,660,660,715,74.07
36,80,6,1,428,585.70,555,810,810,829,130.36
36,80,7,1,378,552.40,540,640,640,699,88.30
36,80,8,1,444,552.60,540,620,620,674,60.35
36,80,9,1,424,558.40,565,630,630,667,64.07
36,80,10,1,339,573.80,570,710,710,813,146.59
36,80,11,1,431,549.30,530,630,630,677,66.94
36,80,12,1,424,566.40,530,700,700,772,100.75
36,80,13,1,450,559.30,573,620,620,625,50.61
36,80,14,1,457,557.90,545,670,670,673,68.21
36,80,15,1,312,543.50,545,610,610,672,88.95
36,80,16,1,404,557.90,550,630,630,691,79.85
36,80,17,1,327,539.10,543,610,610,745,96.72
36,80,18,1,333,550.70,560,660,660,695,91.49
36,80,19,1,434,547.10,535,650,650,680,74.49
36,80,20,1,306,544.80,535,700,700,713,106.08
36,80,21,1,487,565.80,540,670,670,673,66.14
36,80,22,1,303,546.00,550,680,680,694,103.06
36,80,23,1,292,543.50,550,680,680,716,112.05
36,80,24,1,461,559.80,530,640,640,731,77.35
36,80,25,1,303,542.60,530,670,670,758,121.40
36,80,26,1,355,548.30,540,630,630,703,85.43
36,80,27,1,415,559.60,530,650,650,772,95.53
36,80,28,1,315,538.50,570,670,670,674,107.98
36,80,29,1,319,557.50,545,690,690,714,116.38
36,80,30,1,375,548.30,536,650,650,763,98.04
36,80,31,1,416,559.40,560,680,680,710,84.18
36,80,32,1,473,565.00,530,570,570,894,112.62
36,80,33,1,203,560.70,540,780,780,969,209.20
36,80,34,1,267,561.60,570,830,830,886,204.92
36,80,35,1,338,544.70,540,630,630,683,93.74
36,80,36,1,373,538.50,530,630,630,689,77.00
36,80,37,1,316,545.80,585,630,630,634,93.27
36,80,38,1,458,556.70,535,560,560,874,109.10
36,80,39,1,277,545.30,580,670,670,730,130.81
36,80,40,1,309,559.40,580,690,690,771,124.71
36,80,41,1,441,559.40,540,580,580,959,141.87
36,80,42,1,329,552.20,520,650,650,898,138.50
36,80,43,1,350,562.80,530,730,730,786,119.47
36,80,44,1,407,555.90,555,620,620,638,62.98
36,80,45,1,368,546.60,560,650,650,754,110.97
36,80,46,1,391,543.50,563,620,620,668,80.26
36,80,47,1,250,554.00,550,700,700,916,183.40
36,80,48,1,368,553.70,575,620,620,641,72.47
36,80,49,1,327,554.40,570,670,670,691,105.35
36,80,50,1,328,552.00,540,630,630,719,94.67
36,80,51,1,315,546.40,530,740,740,780,146.92
36,80,52,1,343,571.20,560,755,755,753,130.04
36,80,53,1,347,545.50,530,670,670,865,141.09
36,80,54,1,349,542.80,560,620,620,660,83.00
36,80,55,1,406,666.90,580,880,880,1258,236.00
36,80,56,1,462,587.80,546,720,720,735,85.29
36,80,57,1,276,539.20,535,620,620,697,102.40
36,80,58,1,394,561.90,560,730,730,733,111.59
36,80,59,1,288,536.00,530,640,640,856,138.53
36,80,60,1,347,555.30,530,790,790,872,172.91
36,80,61,1,379,552.20,540,680,680,737,113.88
36,80,62,1,333,565.00,530,700,700,887,140.25
36,80,63,1,342,571.90,565,700,700,847,134.38
36,80,64,1,326,546.40,560,670,670,722,114.20
36,80,65,1,324,567.00,540,720,720,910,185.52
36,80,66,1,361,563.20,565,690,690,692,95.69
36,80,67,1,379,545.70,560,630,630,648,78.92
36,80,68,1,335,573.80,560,720,720,891,158.00
36,80,69,1,329,573.70,570,730,730,733,110.87
36,80,70,1,335,573.00,530,830,830,1134,225.59
36,80,71,1,342,544.80,480,720,720,809,134.82
36,80,72,1,420,562.00,530,650,650,980,151.98
36,80,73,1,344,591.80,590,680,680,1025,177.93
36,80,74,1,282,546.80,550,680,680,741,128.38
36,80,75,1,384,547.00,490,680,680,821,140.69
36,80,76,1,392,557.20,490,780,780,960,172.75
36,80,77,1,355,552.60,530,670,670,759,112.65
36,80,78,1,410,552.90,510,640,640,944,144.86
36,80,79,1,374,556.30,540,720,720,785,123.03
36,80,80,1,347,580.70,490,790,790,1085,204.87
36,1,1,2,390,607.10,595,780,780,852,133.98
36,10,1,2,451,562.40,530,670,670,804,98.44
36,10,2,2,384,569.70,550,710,710,719,103.03
36,10,3,2,364,540.20,530,570,570,823,107.95
36,10,4,2,428,553.10,510,670,670,689,79.60
36,10,5,2,386,551.00,530,650,650,665,77.47
36,10,6,2,394,556.60,530,730,730,738,109.21
36,10,7,2,468,555.90,510,690,690,725,82.44
36,10,8,2,445,533.40,540,620,620,634,62.50
36,10,9,2,352,549.20,550,685,685,688,94.65
36,10,10,2,392,566.90,570,680,680,716,94.05
36,100,1,2,444,564.30,540,670,670,763,93.60
36,100,2,2,470,556.20,540,610,610,729,68.78
36,100,3,2,451,575.60,550,620,620,898,118.92
