cpu,client,run,iface,rxpck/s,txpck/s,rxkB/s,txkB/s
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,0.00,1.00,0.00,0.09
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,0.00,0.00,0.00,0.00
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1.00,0.00,0.06,0.00
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,0.00,0.00,0.00,0.00
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,304876.00,304303.00,273041.34,269756.75
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,187337.00,117677.00,257245.95,11117.33
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1795779.00,1752507.00,1685208.30,1603576.18
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1085725.00,667428.00,1532560.95,62817.06
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1773579.00,1725915.00,1683085.43,1594511.89
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1076089.00,649837.00,1525679.80,61107.09
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1772109.00,1724354.00,1683919.53,1595024.07
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1076513.00,647834.00,1526455.20,60917.28
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1774416.00,1727263.00,1685988.06,1597917.99
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1078489.00,648773.00,1529263.70,61003.41
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1765624.00,1718263.00,1677532.11,1589339.51
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1072664.00,645579.00,1521004.03,60708.38
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1781274.00,1733769.00,1692985.16,1604303.78
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1082841.00,650921.00,1535434.70,61206.55
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1778050.00,1730726.00,1690371.09,1601947.07
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1081308.00,649419.00,1533260.95,61059.83
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1781734.00,1734623.00,1693838.06,1605689.40
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1083841.00,650776.00,1536852.67,61192.03
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1783402.00,1735262.00,1695410.56,1605766.17
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1083831.00,651428.00,1536838.49,61256.47
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1779862.00,1732496.00,1692233.62,1603755.68
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1082541.00,649956.00,1535009.31,61117.27
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1778931.00,1730983.00,1691478.74,1602165.74
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1081439.00,649540.00,1533446.71,61080.55
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1783803.00,1735420.00,1695590.14,1605564.93
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1083671.00,651758.00,1536611.61,61288.94
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1778054.00,1731061.00,1690124.54,1602189.03
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1081441.00,649612.00,1533449.54,61092.50
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1780694.00,1733979.00,1692039.00,1604546.59
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1083004.00,650975.00,1535665.83,61214.03
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1778113.00,1731263.00,1689673.21,1601946.49
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1081247.00,650020.00,1533174.46,61130.55
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1781840.00,1734170.00,1694080.84,1605101.72
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1083421.00,650748.00,1536257.12,61194.34
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1780980.00,1732885.00,1693628.81,1604107.49
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1082772.00,650112.00,1535336.86,61128.72
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1781487.00,1734149.00,1693390.18,1604902.50
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1083274.00,650875.00,1536048.68,61207.30
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1775590.00,1728114.00,1688200.49,1599547.32
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1079686.00,648428.00,1530961.01,60972.17
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1783409.00,1735463.00,1695844.51,1606462.94
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1084361.00,651096.00,1537590.01,61222.98
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1779035.00,1731968.00,1691665.53,1603578.89
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1082461.00,649511.00,1534895.87,61073.63
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1778429.00,1730836.00,1690785.63,1601958.99
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1081294.00,649545.00,1533241.10,61082.66
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1777116.00,1730037.00,1689251.51,1601194.02
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1080776.00,649260.00,1532506.59,61052.98
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1781850.00,1734436.00,1694173.90,1605559.65
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1083759.00,650671.00,1536736.39,61183.94
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1779599.00,1732847.00,1691965.12,1604410.83
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1083020.00,649829.00,1535688.52,61108.19
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1775937.00,1728789.00,1688313.91,1600068.88
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1080029.00,648759.00,1531447.37,61000.86
18,100,1,lo,0.00,0.00,0.00,0.00
18,100,1,eno1,1778299.00,1731258.00,1691017.20,1602953.40
18,100,1,eno2,0.00,0.00,0.00,0.00
18,100,1,wg,1082044.00,649219.00,1534304.58,61045.55
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,3.00,0.00,0.73,0.00
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,0.00,0.00,0.00,0.00
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,3.00,0.00,0.73,0.00
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,0.00,0.00,0.00,0.00
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,2958.00,2954.00,2991.06,3071.29
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,736.00,2211.00,161.41,2839.48
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,25722.00,25722.00,30980.37,31996.95
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3827.00,21891.00,420.39,30789.99
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26674.00,26674.00,32573.49,33656.53
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3730.00,22944.00,349.69,32475.06
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26612.00,26609.00,32322.40,33385.08
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3857.00,22752.00,361.59,32203.30
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26701.00,26701.00,32577.13,33658.27
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3757.00,22944.00,352.22,32475.06
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26749.00,26749.00,32583.37,33661.35
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3802.00,22944.00,356.44,32475.06
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26546.00,26545.00,32434.38,33514.55
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3690.00,22848.00,345.94,32339.18
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26746.00,26649.00,32583.07,33521.31
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3800.00,22848.00,356.25,32339.18
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26719.00,26815.00,32579.55,33799.25
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3775.00,23040.00,353.91,32610.94
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26521.00,26521.00,32310.06,33379.46
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,3765.00,22752.00,352.97,32203.30
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,26717.00,26716.00,32579.14,33659.24
36,1,1,eno2,0.00,0.00,0.00,0.00
