cpu,client,node,run,min,mean,median,90th,99th,max,std
36,1,1,1,796,1919.40,1400,1800,1800,7554,1906.47
36,10,1,1,449,2013.90,1425,1600,1600,9186,2420.08
36,10,2,1,875,23885.70,1380,1600,1600,226435,67516.71
36,10,3,1,455,1022.20,1100,1450,1450,1465,374.60
36,10,4,1,469,2432.30,1433,1500,1500,13703,3775.72
36,10,5,1,452,1976.70,990,1500,1500,10306,2800.12
36,10,6,1,500,1118.50,1100,1500,1500,1527,370.08
36,10,7,1,456,2217.10,1400,1600,1600,12349,3401.16
36,10,8,1,332,1006.40,990,1475,1475,1482,413.64
36,10,9,1,367,934.60,930,1500,1500,1505,400.55
36,10,10,1,485,2361.30,1400,1700,1700,12833,3512.30
36,100,1,1,476,2019.70,1433,1500,1500,10035,2703.44
36,100,2,1,443,1609.10,1350,1500,1500,7017,1854.22
36,100,3,1,567,2477.80,1400,1600,1600,13212,3589.48
36,100,4,1,349,834.70,590,1450,1450,1494,389.16
36,100,5,1,376,835.50,590,1450,1450,1445,373.95
36,100,6,1,345,1920.80,1425,1600,1600,8732,2307.43
36,100,7,1,293,2065.60,670,1500,1500,12820,3607.87
36,100,8,1,387,1984.90,1100,1600,1600,10160,2749.67
36,100,9,1,326,924.80,960,1466,1466,1492,404.16
36,100,10,1,360,841.50,610,1450,1450,1462,372.53
36,100,11,1,435,1107.90,1400,1500,1500,1544,423.85
36,100,12,1,395,1022.30,1000,1500,1500,1510,397.61
36,100,13,1,401,22669.60,1500,2100,2100,215360,64232.43
36,100,14,1,553,1124.40,1100,1475,1475,1477,346.84
36,100,15,1,464,762.30,570,1100,1100,1493,317.87
36,100,16,1,501,1975.20,1100,1500,1500,10469,2856.85
36,100,17,1,366,847.20,600,1500,1500,1543,383.82
36,100,18,1,376,70005.90,1350,230000,230000,467515,148294.00
36,100,19,1,366,933.20,910,1500,1500,1544,398.66
36,100,20,1,472,1032.60,1050,1500,1500,1501,378.96
36,100,21,1,318,1021.60,990,1475,1475,1481,407.03
36,100,22,1,423,848.70,590,1450,1450,1490,376.74
36,100,23,1,359,944.10,910,1500,1500,1556,424.94
36,100,24,1,471,869.60,580,1500,1500,1606,386.99
36,100,25,1,477,937.50,970,1450,1450,1464,376.24
36,100,26,1,480,957.20,910,1500,1500,1594,404.76
36,100,27,1,403,847.10,650,1400,1400,1478,357.70
36,100,28,1,393,22970.50,1300,2300,2300,219671,65569.38
36,100,29,1,341,916.50,970,1466,1466,1433,399.32
36,100,30,1,366,1118.90,1100,1500,1500,1543,403.23
36,100,31,1,402,22733.00,1700,2000,2000,214437,63903.46
36,100,32,1,417,23667.20,1400,7900,7900,220032,65487.88
36,100,33,1,531,1033.80,980,1500,1500,1501,367.98
36,100,34,1,328,1851.60,1350,1600,1600,9115,2456.68
36,100,35,1,551,1766.00,1420,1500,1500,6882,1737.57
36,100,36,1,410,25025.50,1200,15000,15000,219284,64912.36
36,100,37,1,383,45385.50,1150,225000,225000,224976,88789.17
36,100,38,1,442,939.50,930,1500,1500,1538,400.91
36,100,39,1,519,946.10,990,1500,1500,1524,365.40
36,100,40,1,369,1910.30,900,1600,1600,10963,3037.98
36,100,41,1,453,938.50,970,1450,1450,1491,373.38
36,100,42,1,526,25861.00,1500,14000,14000,226109,66884.18
36,100,43,1,489,967.20,950,1500,1500,1522,365.60
36,100,44,1,445,940.60,960,1366,1366,1387,341.09
36,100,45,1,507,24631.00,1400,11000,11000,220634,65416.31
36,100,46,1,467,1995.80,970,1600,1600,10148,2738.48
36,100,47,1,438,943.20,940,1466,1466,1465,385.36
36,100,48,1,457,1721.90,1366,1600,1600,6967,1789.03
36,100,49,1,372,948.70,930,1550,1550,1533,384.76
36,100,50,1,468,2319.20,1400,1700,1700,13178,3640.94
36,100,51,1,421,2128.20,1366,1600,1600,10622,2851.93
36,100,52,1,448,1733.80,960,1500,1500,8977,2438.87
36,100,53,1,469,940.10,935,1450,1450,1469,370.10
36,100,54,1,500,23415.40,1140,1300,1300,224810,67131.90
36,100,55,1,438,944.70,950,1466,1466,1498,394.28
36,100,56,1,483,781.70,645,1100,1100,1578,324.14
36,100,57,1,591,1812.30,1400,1800,1800,6805,1704.00
36,100,58,1,362,869.30,690,1450,1450,1490,344.70
36,100,59,1,415,1543.30,840,1600,1600,7051,1878.47
36,100,60,1,443,1449.00,720,1500,1500,6908,1847.73
36,100,61,1,443,952.20,920,1500,1500,1500,380.84
36,100,62,1,495,961.20,890,1400,1400,1566,361.30
36,100,63,1,466,2108.00,1400,1800,1800,10276,2759.92
36,100,64,1,283,1021.20,1000,1500,1500,1576,435.88
36,100,65,1,486,2001.20,1100,1600,1600,11045,3041.27
36,100,66,1,539,2150.90,1450,1800,1800,10535,2824.57
36,100,67,1,387,957.60,720,1500,1500,1738,410.89
36,100,68,1,592,1167.60,1400,1750,1750,1764,467.00
36,100,69,1,373,2035.00,710,1500,1500,12569,3532.38
36,100,70,1,381,2081.10,1350,2200,2200,9699,2593.04
36,100,71,1,388,965.90,985,1566,1566,1595,436.55
36,100,72,1,272,1955.20,1300,1900,1900,9050,2415.20
36,100,73,1,357,1152.60,1350,1600,1600,1997,514.66
36,100,74,1,442,1820.80,630,1800,1800,9040,2459.61
36,100,75,1,413,1759.70,790,1500,1500,9625,2642.30
36,100,76,1,458,1097.90,810,1900,1900,2020,576.78
36,100,77,1,485,1425.10,920,1500,1500,6185,1609.66
36,100,78,1,431,1236.10,1500,1800,1800,1841,502.06
36,100,79,1,614,3246.70,1300,8700,8700,14784,4457.66
36,100,80,1,322,3505.90,870,9700,9700,14781,4614.59
36,100,81,1,548,3559.60,1550,12000,12000,14074,4719.45
36,100,82,1,1028,23283.90,1250,1500,1500,221791,66169.11
36,100,83,1,544,2054.60,1566,2200,2200,7773,1967.26
36,100,84,1,351,2189.40,1700,2300,2300,8721,2261.55
36,100,85,1,414,2828.20,1533,8900,8900,9165,3102.98
36,100,86,1,514,2184.70,1400,1700,1700,10758,2883.58
36,100,87,1,458,1983.70,1400,1900,1900,9236,2463.49
36,100,88,1,418,4631.60,1400,11000,11000,25814,7571.19
36,100,89,1,404,1042.40,800,1700,1700,1858,492.62
36,100,90,1,597,1191.10,970,1800,1800,2026,469.64
36,100,91,1,636,1723.50,1600,2800,2800,2981,672.41
36,100,92,1,1230,3544.90,2100,2500,2500,17203,4563.94
36,100,93,1,348,3463.90,2000,8800,8800,13287,3970.59
36,100,94,1,853,50626.50,1800,220000,220000,256168,93327.32
36,100,95,1,1201,1872.50,1750,2600,2600,2816,544.81
36,100,96,1,1049,105095.60,1500,13000,13000,1027564,307506.48
36,100,97,1,1557,3375.60,2233,2600,2600,14643,3765.87
36,100,98,1,1083,2887.90,1600,6300,6300,10147,2815.76
36,100,99,1,1285,102780.60,1466,2500,2500,1013162,303460.71
36,100,100,1,1063,1809.80,1900,2400,2400,2447,461.86
36,30,1,1,513,1671.80,960,1500,1500,7800,2083.07
36,30,2,1,462,1119.70,1100,1480,1480,1490,359.17
36,30,3,1,453,939.90,960,1466,1466,1446,384.72
36,30,4,1,322,1207.30,1433,1500,1500,1612,424.32
36,30,5,1,438,2208.90,1440,1600,1600,10906,2922.69
36,30,6,1,489,945.30,930,1500,1500,1569,392.30
36,30,7,1,478,2149.00,1433,1500,1500,10093,2665.59
36,30,8,1,325,1788.30,1433,1600,1600,6957,1771.96
