cpu,client,node,run,data,throughput,retransmissions,congestion_window
36,1,1,1,2.92,24.5,119,5.34
36,1,1,1,2.88,24.2,122,4.01
36,1,1,1,2.86,24.0,110,6.68
36,1,1,1,2.88,24.2,107,4.01
36,1,1,1,2.88,24.2,122,4.01
36,1,1,1,2.86,24.0,147,4.01
36,1,1,1,2.88,24.2,107,4.01
36,1,1,1,2.88,24.2,135,4.01
36,1,1,1,2.84,23.8,118,4.01
36,1,1,1,2.88,24.1,120,6.68
36,1,1,1,2.87,24.1,129,4.01
36,1,1,1,2.88,24.2,95,6.68
36,1,1,1,2.88,24.1,102,4.01
36,1,1,1,2.86,24.0,114,4.01
36,1,1,1,2.88,24.2,99,4.01
36,1,1,1,2.88,24.2,101,5.34
36,1,1,1,2.84,23.8,106,4.01
36,1,1,1,2.90,24.3,117,5.34
36,1,1,1,2.88,24.2,117,2.67
36,1,1,1,2.84,23.8,123,5.34
36,1,1,1,2.88,24.2,122,2.67
36,1,1,1,2.86,24.0,103,4.01
36,1,1,1,2.88,24.2,105,6.68
36,1,1,1,2.88,24.2,134,6.68
36,1,1,1,2.86,24.0,123,2.67
36,1,1,1,2.88,24.2,139,4.01
36,1,1,1,2.88,24.2,137,6.68
36,1,1,1,2.84,23.8,108,4.01
36,1,1,1,2.90,24.3,114,2.67
36,1,1,1,2.88,24.2,104,6.68
36,1,1,1,2.84,23.8,103,4.01
36,1,1,1,2.90,24.3,105,4.01
36,1,1,1,2.84,23.8,100,4.01
36,1,1,1,2.88,24.2,141,5.34
36,1,1,1,2.88,24.2,107,5.34
36,1,1,1,2.88,24.2,109,2.67
36,1,1,1,2.86,24.0,100,4.01
36,1,1,1,2.88,24.2,104,10.7
36,1,1,1,2.88,24.2,128,5.34
36,1,1,1,2.83,23.7,139,5.34
36,1,1,1,2.87,24.1,102,5.34
36,1,1,1,2.88,24.2,104,4.01
36,1,1,1,2.88,24.1,105,4.01
36,1,1,1,2.87,24.0,110,4.01
36,1,1,1,2.88,24.2,114,5.34
36,1,1,1,2.88,24.1,119,4.01
36,1,1,1,2.86,24.0,109,4.01
36,1,1,1,2.88,24.2,101,4.01
36,1,1,1,2.88,24.2,124,4.01
36,1,1,1,2.84,23.8,115,4.01
36,1,1,1,2.90,24.3,88,4.01
36,1,1,1,2.84,23.8,112,6.68
36,1,1,1,2.88,24.2,121,4.01
36,1,1,1,2.88,24.2,124,5.34
36,1,1,1,2.86,24.0,99,4.01
36,1,1,1,2.88,24.2,111,4.01
36,1,1,1,2.88,24.2,119,4.01
36,1,1,1,2.86,24.0,123,4.01
36,1,1,1,2.88,24.2,93,2.67
36,1,1,1,2.84,23.8,132,5.34
36,1,1,1,2.88,24.2,115,4.01
36,1,1,1,2.86,24.0,116,4.01
36,1,1,1,85.5,28.7,3,5.34
36,10,1,1,2.92,24.5,116,5.34
36,10,1,1,2.86,24.0,111,4.01
36,10,1,1,2.88,24.2,113,2.67
36,10,1,1,2.84,23.8,88,4.01
36,10,1,1,2.88,24.1,120,4.01
36,10,1,1,2.87,24.0,116,5.34
36,10,1,1,2.88,24.2,116,4.01
36,10,1,1,2.88,24.1,90,4.01
36,10,1,1,2.86,24.0,123,4.01
36,10,1,1,2.88,24.2,91,4.01
36,10,1,1,2.88,24.2,139,4.01
36,10,1,1,2.84,23.8,107,4.01
36,10,1,1,2.90,24.3,123,4.01
36,10,1,1,2.84,23.8,117,5.34
36,10,1,1,2.88,24.2,103,4.01
36,10,1,1,2.88,24.2,125,4.01
36,10,1,1,2.86,24.0,116,4.01
36,10,1,1,2.88,24.2,124,6.68
36,10,1,1,2.88,24.2,103,5.34
36,10,1,1,2.86,24.0,120,5.34
36,10,1,1,2.88,24.2,111,2.67
36,10,1,1,2.84,23.8,102,4.01
36,10,1,1,2.88,24.2,132,4.01
36,10,1,1,2.86,24.0,115,8.02
36,10,1,1,2.88,24.2,114,4.01
36,10,1,1,2.88,24.2,101,4.01
36,10,1,1,2.88,24.2,113,4.01
36,10,1,1,2.86,24.0,123,4.01
36,10,1,1,2.88,24.2,119,5.34
36,10,1,1,2.88,24.2,128,5.34
36,10,1,1,2.86,24.0,112,4.01
36,10,1,1,2.85,23.9,127,4.01
36,10,1,1,2.87,24.1,121,4.01
36,10,1,1,2.88,24.1,111,4.01
36,10,1,1,2.86,24.0,120,4.01
36,10,1,1,2.88,24.2,119,2.67
36,10,1,1,2.88,24.2,127,2.67
36,10,1,1,2.88,24.1,140,4.01
36,10,1,1,2.86,24.0,119,4.01
36,10,1,1,2.88,24.2,122,5.34
36,10,1,1,2.88,24.2,103,5.34
36,10,1,1,2.84,23.8,122,4.01
36,10,1,1,2.86,24.0,116,5.34
36,10,1,1,2.88,24.2,117,4.01
36,10,1,1,2.88,24.2,109,5.34
36,10,1,1,2.88,24.2,112,2.67
36,10,1,1,2.86,24.0,114,4.01
36,10,1,1,2.88,24.2,101,6.68
36,10,1,1,2.88,24.2,129,4.01
36,10,1,1,2.84,23.8,102,6.68
36,10,1,1,2.90,24.3,112,5.34
36,10,1,1,2.84,23.8,93,4.01
36,10,1,1,2.88,24.2,77,5.34
36,10,1,1,2.86,24.0,113,6.68
36,10,1,1,2.88,24.2,99,4.01
36,10,1,1,2.88,24.2,94,5.34
36,10,1,1,2.88,24.2,80,4.01
36,10,1,1,2.83,23.7,116,4.01
36,10,1,1,2.87,24.1,95,5.34
36,10,1,1,2.88,24.1,119,5.34
36,10,1,1,2.86,24.0,89,4.01
36,10,1,1,2.88,24.2,98,4.01
36,10,1,1,171,27.4,5,4.01
36,10,2,1,2.92,24.5,109,2.67
36,10,2,1,2.86,24.0,122,4.01
36,10,2,1,2.88,24.2,109,4.01
36,10,2,1,2.88,24.2,120,5.34
36,10,2,1,2.88,24.2,110,2.67
36,10,2,1,2.86,24.0,123,2.67
36,10,2,1,2.88,24.2,114,4.01
36,10,2,1,2.84,23.8,118,4.01
36,10,2,1,2.88,24.1,106,4.01
36,10,2,1,2.86,24.0,108,4.01
36,10,2,1,2.88,24.2,114,6.68
36,10,2,1,2.84,23.8,97,6.68
36,10,2,1,2.88,24.2,113,5.34
36,10,2,1,2.86,24.0,132,6.68
36,10,2,1,2.88,24.2,102,6.68
36,10,2,1,2.88,24.2,112,4.01
36,10,2,1,2.88,24.2,89,6.68
36,10,2,1,2.86,24.0,112,4.01
36,10,2,1,2.88,24.2,128,4.01
36,10,2,1,2.84,23.8,101,4.01
36,10,2,1,2.90,24.3,117,5.34
36,10,2,1,2.84,23.8,123,6.68
36,10,2,1,2.88,24.2,90,6.68
36,10,2,1,2.88,24.2,95,2.67
36,10,2,1,2.83,23.7,125,4.01
36,10,2,1,2.87,24.1,79,2.67
36,10,2,1,2.88,24.2,108,4.01
36,10,2,1,2.84,23.8,105,4.01
36,10,2,1,2.86,24.0,113,6.68
36,10,2,1,2.88,24.2,93,6.68
36,10,2,1,2.88,24.2,113,4.01
36,10,2,1,2.86,24.0,124,4.01
36,10,2,1,2.88,24.2,139,4.01
36,10,2,1,2.84,23.8,132,6.68
36,10,2,1,2.88,24.2,111,5.34
36,10,2,1,2.88,24.2,110,5.34
36,10,2,1,2.86,24.0,168,4.01
36,10,2,1,2.88,24.2,132,6.68
36,10,2,1,2.88,24.2,141,5.34
36,10,2,1,2.86,24.0,110,4.01
36,10,2,1,2.88,24.2,112,4.01
36,10,2,1,2.84,23.8,76,4.01
36,10,2,1,2.88,24.1,91,4.01
36,10,2,1,2.87,24.0,95,4.01
36,10,2,1,2.88,24.2,125,4.01
36,10,2,1,2.88,24.1,101,4.01
36,10,2,1,2.86,24.0,128,5.34
36,10,2,1,2.88,24.2,109,4.01
36,10,2,1,2.84,23.8,101,4.01
36,10,2,1,2.88,24.2,90,4.01
36,10,2,1,2.90,24.3,81,8.02
36,10,2,1,2.84,23.8,114,4.01
36,10,2,1,2.88,24.2,121,5.34
36,10,2,1,2.88,24.2,97,4.01
36,10,2,1,2.86,24.0,131,4.01
36,10,2,1,2.84,23.8,93,4.01
36,10,2,1,2.88,24.2,123,4.01
36,10,2,1,2.88,24.2,115,4.01
36,10,2,1,2.86,24.0,136,2.67
36,10,2,1,2.88,24.2,89,4.01
36,10,2,1,2.88,24.2,80,5.34
36,10,2,1,2.82,23.6,91,4.01
36,10,2,1,128,22.4,2,4.01
36,10,3,1,2.91,24.4,125,4.01
36,10,3,1,2.88,24.2,111,4.01
36,10,3,1,2.88,24.2,113,4.01
36,10,3,1,2.88,24.2,107,5.34
36,10,3,1,2.86,24.0,113,4.01
36,10,3,1,2.88,24.2,92,2.67
36,10,3,1,2.84,23.8,107,4.01
36,10,3,1,2.88,24.1,105,4.01
36,10,3,1,2.88,24.1,107,4.01
36,10,3,1,2.87,24.1,123,5.34
36,10,3,1,2.88,24.1,102,4.01
36,10,3,1,2.86,24.0,106,4.01
36,10,3,1,2.84,23.8,97,5.34
