cpu,client,run,iface,rxpck/s,txpck/s,rxkB/s,txkB/s
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,1.00,0.00,0.06,0.00
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,0.00,0.00,0.00,0.00
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,0.00,0.00,0.00,0.00
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,0.00,0.00,0.00,0.00
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,25379.00,25378.00,23210.88,22940.69
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,15724.00,9664.00,21757.44,1068.54
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35113.00,35111.00,32983.14,32585.88
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22003.00,13109.00,31199.57,1235.55
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35167.00,35166.00,32986.31,32591.89
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22002.00,13163.00,31198.15,1240.47
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35177.00,35174.00,32990.49,32596.17
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22005.00,13169.00,31202.40,1240.44
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35301.00,35299.00,32998.92,32612.23
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22003.00,13296.00,31199.57,1254.09
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35386.00,35382.00,33018.32,32631.24
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22013.00,13332.00,31213.75,1256.80
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35164.00,35161.00,32977.96,32583.90
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21996.00,13165.00,31189.64,1240.94
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35254.00,35252.00,33001.70,32612.59
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22008.00,13243.00,31206.66,1248.22
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35213.00,35208.00,32990.38,32595.69
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22001.00,13208.00,31196.73,1245.36
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35228.00,35226.00,33005.86,32616.16
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22014.00,13211.00,31215.16,1244.70
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35223.00,35224.00,32998.11,32606.25
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22007.00,13217.00,31205.24,1245.75
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35299.00,35297.00,32987.86,32601.94
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21995.00,13299.00,31188.22,1254.55
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35062.00,35059.00,32988.13,32587.09
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22010.00,13049.00,31209.49,1229.28
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35191.00,35189.00,32990.28,32596.99
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22004.00,13185.00,31200.98,1242.00
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35134.00,35130.00,32989.53,32591.58
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22006.00,13124.00,31203.82,1236.30
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35132.00,35129.00,32977.54,32581.81
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21998.00,13131.00,31192.48,1237.44
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35133.00,35131.00,32983.54,32587.28
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22003.00,13125.00,31199.57,1235.97
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35279.00,35272.00,33002.20,32613.06
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22007.00,13265.00,31205.24,1250.59
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35122.00,35119.00,32988.93,32591.41
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22007.00,13112.00,31205.24,1235.22
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35225.00,35222.00,32995.98,32604.56
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22006.00,13216.00,31203.82,1245.50
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35166.00,35165.00,32990.53,32595.72
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22006.00,13159.00,31203.82,1239.00
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35308.00,35304.00,33009.65,32620.43
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22011.00,13292.00,31210.91,1252.53
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35236.00,35235.00,33001.70,32612.09
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22009.00,13225.00,31208.07,1247.06
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35168.00,35164.00,32981.14,32586.54
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21998.00,13166.00,31192.48,1240.73
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35149.00,35148.00,32992.90,32597.26
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22008.00,13140.00,31206.66,1238.52
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35264.00,35260.00,33001.30,32611.49
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22007.00,13253.00,31205.24,1249.52
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35239.00,35239.00,33013.64,32620.49
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22018.00,13221.00,31220.84,1245.77
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35110.00,35110.00,32950.05,32556.65
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21979.00,13130.00,31165.54,1237.53
36,1,1,lo,0.00,0.00,0.00,0.00
