cpu,client,node,run,min,mean,median,90th,99th,max,std
36,1,1,1,434,2059.20,1250,1800,1800,11067,3031.25
36,10,1,1,535,1124.40,1350,1475,1475,1477,384.69
36,10,2,1,404,1119.00,533,560,560,6631,1838.03
36,10,3,1,441,2384.50,1425,1600,1600,13319,3665.54
36,10,4,1,396,2054.90,1100,1500,1500,11052,3020.38
36,10,5,1,489,1930.50,1420,1500,1500,8724,2291.20
36,10,6,1,436,1119.90,1000,1500,1500,1567,405.52
36,10,7,1,418,23015.90,1425,1600,1600,219254,65413.82
36,10,8,1,481,2031.20,1420,1500,1500,10988,3015.65
36,10,9,1,429,2013.30,1420,1500,1500,9226,2434.49
36,10,10,1,393,1010.40,980,1500,1500,1519,409.77
36,100,1,1,355,1991.50,990,1700,1700,10382,2824.08
36,100,2,1,517,2030.20,1440,1600,1600,9503,2516.15
36,100,3,1,293,871.00,970,1450,1450,1457,403.34
36,100,4,1,515,939.60,985,1450,1450,1479,367.12
36,100,5,1,460,2023.70,1433,1500,1500,9295,2453.45
36,100,6,1,505,1939.90,1350,1600,1600,10007,2722.03
36,100,7,1,346,1737.70,1420,1500,1500,6917,1771.54
36,100,8,1,401,1108.50,1000,1500,1500,1501,396.47
36,100,9,1,509,1839.10,1420,1500,1500,8644,2301.47
36,100,10,1,347,931.00,950,1450,1450,1463,392.95
36,100,11,1,457,1020.40,980,1500,1500,1505,385.40
36,100,12,1,430,23151.00,1425,1600,1600,220493,65781.77
36,100,13,1,474,2294.00,1400,1500,1500,13325,3699.35
36,100,14,1,434,1789.20,1400,1500,1500,7846,2053.15
36,100,15,1,460,1110.60,1200,1500,1500,1812,445.77
36,100,16,1,390,1102.80,1100,1480,1480,1470,393.98
36,100,17,1,317,23025.10,1450,1600,1600,219270,65416.27
36,100,18,1,448,23304.20,1350,1600,1600,223672,66790.76
36,100,19,1,503,948.60,990,1466,1466,1475,385.11
36,100,20,1,370,2065.90,1420,1500,1500,10508,2841.48
36,100,21,1,391,920.40,930,1466,1466,1496,406.83
36,100,22,1,351,1099.20,1000,1480,1480,1478,398.91
36,100,23,1,393,1018.40,1050,1475,1475,1483,412.67
36,100,24,1,314,74857.90,1266,1700,1700,738514,221219.01
36,100,25,1,403,935.60,950,1500,1500,1524,400.21
36,100,26,1,338,931.80,950,1466,1466,1442,376.29
36,100,27,1,316,2464.60,1400,1500,1500,14671,4087.56
36,100,28,1,284,926.40,970,1466,1466,1462,408.61
36,100,29,1,350,929.10,940,1466,1466,1493,404.63
36,100,30,1,391,2376.80,1425,1600,1600,13222,3635.37
36,100,31,1,376,1029.00,990,1475,1475,1493,403.06
36,100,32,1,343,842.00,590,1500,1500,1523,389.32
36,100,33,1,314,1014.30,995,1475,1475,1486,410.03
