cpu,client,run,core,usr,kernel,softirq,idle
18,100,1,-1,0.00,0.06,0.00,99.94
18,100,1,0,0.00,0.00,0.00,100.00
18,100,1,1,0.00,0.00,0.00,100.00
18,100,1,2,0.00,0.00,0.00,100.00
18,100,1,3,0.00,0.00,0.00,100.00
18,100,1,4,0.00,0.00,0.00,100.00
18,100,1,5,0.00,0.00,0.00,100.00
18,100,1,6,0.00,0.00,0.00,100.00
18,100,1,7,0.00,0.00,0.00,100.00
18,100,1,8,0.00,0.00,0.00,100.00
18,100,1,9,0.00,0.00,0.00,100.00
18,100,1,10,0.00,0.00,0.00,100.00
18,100,1,11,0.00,0.00,0.00,100.00
18,100,1,12,0.00,0.00,0.00,100.00
18,100,1,13,0.00,0.00,0.00,100.00
18,100,1,14,0.00,0.00,0.00,100.00
18,100,1,15,0.00,0.99,0.00,99.01
18,100,1,16,0.00,0.00,0.00,100.00
18,100,1,17,0.00,0.00,0.00,100.00
18,100,1,-1,0.06,0.00,0.00,99.94
18,100,1,0,0.00,0.00,0.00,100.00
18,100,1,1,0.00,0.00,0.00,100.00
18,100,1,2,0.00,0.00,0.00,100.00
18,100,1,3,0.00,0.00,0.00,100.00
18,100,1,4,0.00,0.00,0.00,100.00
18,100,1,5,0.00,0.00,0.00,100.00
18,100,1,6,0.99,0.00,0.00,99.01
18,100,1,7,0.00,0.00,0.00,100.00
18,100,1,8,0.00,0.00,0.00,100.00
18,100,1,9,0.00,0.00,0.00,100.00
18,100,1,10,0.00,0.00,0.00,100.00
18,100,1,11,0.00,0.00,0.00,100.00
18,100,1,12,0.00,0.00,0.00,100.00
18,100,1,13,0.00,0.00,0.00,100.00
18,100,1,14,0.00,0.00,0.00,100.00
18,100,1,15,0.00,0.00,0.00,100.00
18,100,1,16,0.00,0.00,0.00,100.00
18,100,1,17,0.00,0.00,0.00,100.00
18,100,1,-1,0.00,7.86,10.84,81.30
18,100,1,0,0.00,11.22,6.12,82.65
18,100,1,1,0.00,7.00,11.00,82.00
18,100,1,2,0.00,8.16,11.22,80.61
18,100,1,3,0.00,7.00,14.00,79.00
18,100,1,4,0.00,8.00,10.00,82.00
18,100,1,5,0.00,9.00,11.00,80.00
18,100,1,6,0.00,6.93,13.86,79.21
18,100,1,7,0.00,8.16,10.20,81.63
18,100,1,8,0.00,8.16,10.20,81.63
18,100,1,9,0.00,6.25,9.38,84.38
18,100,1,10,0.00,6.25,9.38,84.38
18,100,1,11,0.00,7.00,13.00,80.00
18,100,1,12,0.00,10.00,10.00,80.00
18,100,1,13,0.00,8.00,11.00,81.00
18,100,1,14,0.00,5.15,12.37,82.47
18,100,1,15,0.00,8.08,10.10,81.82
18,100,1,16,0.00,10.10,8.08,81.82
18,100,1,17,0.00,6.93,13.86,79.21
18,100,1,-1,0.00,42.30,57.70,0.00
18,100,1,0,0.00,47.52,52.48,0.00
18,100,1,1,0.00,50.00,50.00,0.00
18,100,1,2,0.00,37.62,62.38,0.00
18,100,1,3,0.00,36.00,64.00,0.00
18,100,1,4,0.00,46.00,54.00,0.00
18,100,1,5,0.00,41.00,59.00,0.00
18,100,1,6,0.00,48.48,51.52,0.00
18,100,1,7,0.00,43.00,57.00,0.00
18,100,1,8,0.00,38.00,62.00,0.00
18,100,1,9,0.00,49.00,51.00,0.00
18,100,1,10,0.00,46.00,54.00,0.00
18,100,1,11,0.00,35.35,64.65,0.00
18,100,1,12,0.00,35.00,65.00,0.00
18,100,1,13,0.00,46.46,53.54,0.00
18,100,1,14,0.00,36.00,64.00,0.00
18,100,1,15,0.00,42.00,58.00,0.00
18,100,1,16,0.00,42.00,58.00,0.00
18,100,1,17,0.00,42.00,58.00,0.00
18,100,1,-1,0.00,43.64,56.36,0.00
18,100,1,0,0.00,48.00,52.00,0.00
18,100,1,1,0.00,46.00,54.00,0.00
18,100,1,2,0.00,32.32,67.68,0.00
18,100,1,3,0.00,34.00,66.00,0.00
18,100,1,4,0.00,49.00,51.00,0.00
18,100,1,5,0.00,43.00,57.00,0.00
18,100,1,6,0.00,49.50,50.50,0.00
18,100,1,7,0.00,46.00,54.00,0.00
18,100,1,8,0.00,44.00,56.00,0.00
18,100,1,9,0.00,52.48,47.52,0.00
18,100,1,10,0.00,45.54,54.46,0.00
18,100,1,11,0.00,38.61,61.39,0.00
18,100,1,12,0.00,36.00,64.00,0.00
18,100,1,13,0.00,52.53,47.47,0.00
18,100,1,14,0.00,36.00,64.00,0.00
18,100,1,15,0.00,47.47,52.53,0.00
18,100,1,16,0.00,41.00,59.00,0.00
18,100,1,17,0.00,44.00,56.00,0.00
18,100,1,-1,0.00,45.61,54.39,0.00
18,100,1,0,0.00,53.00,47.00,0.00
18,100,1,1,0.00,56.00,44.00,0.00
18,100,1,2,0.00,33.00,67.00,0.00
18,100,1,3,0.00,39.00,61.00,0.00
18,100,1,4,0.00,51.52,48.48,0.00
18,100,1,5,0.00,47.00,53.00,0.00
18,100,1,6,0.00,45.45,54.55,0.00
18,100,1,7,0.00,45.00,55.00,0.00
18,100,1,8,0.00,44.00,56.00,0.00
18,100,1,9,0.00,49.49,50.51,0.00
18,100,1,10,0.00,48.00,52.00,0.00
18,100,1,11,0.00,37.00,63.00,0.00
18,100,1,12,0.00,40.00,60.00,0.00
18,100,1,13,0.00,53.47,46.53,0.00
18,100,1,14,0.00,35.00,65.00,0.00
18,100,1,15,0.00,48.51,51.49,0.00
18,100,1,16,0.00,47.52,52.48,0.00
18,100,1,17,0.00,48.00,52.00,0.00
18,100,1,-1,0.00,44.03,55.97,0.00
18,100,1,0,0.00,52.00,48.00,0.00
18,100,1,1,0.00,51.00,49.00,0.00
18,100,1,2,0.00,32.67,67.33,0.00
18,100,1,3,0.00,41.00,59.00,0.00
18,100,1,4,0.00,49.00,51.00,0.00
18,100,1,5,0.00,42.00,58.00,0.00
18,100,1,6,0.00,45.54,54.46,0.00
18,100,1,7,0.00,41.00,59.00,0.00
18,100,1,8,0.00,45.00,55.00,0.00
18,100,1,9,0.00,55.00,45.00,0.00
18,100,1,10,0.00,42.00,58.00,0.00
18,100,1,11,0.00,36.00,64.00,0.00
18,100,1,12,0.00,37.00,63.00,0.00
18,100,1,13,0.00,51.00,49.00,0.00
18,100,1,14,0.00,37.00,63.00,0.00
18,100,1,15,0.00,44.44,55.56,0.00
18,100,1,16,0.00,44.00,56.00,0.00
18,100,1,17,0.00,47.00,53.00,0.00
18,100,1,-1,0.00,43.33,56.67,0.00
18,100,1,0,0.00,52.00,48.00,0.00
18,100,1,1,0.00,45.00,55.00,0.00
18,100,1,2,0.00,37.37,62.63,0.00
18,100,1,3,0.00,34.34,65.66,0.00
18,100,1,4,0.00,46.53,53.47,0.00
18,100,1,5,0.00,45.00,55.00,0.00
18,100,1,6,0.00,49.00,51.00,0.00
18,100,1,7,0.00,50.00,50.00,0.00
18,100,1,8,0.00,36.00,64.00,0.00
18,100,1,9,0.00,55.00,45.00,0.00
18,100,1,10,0.00,37.37,62.63,0.00
18,100,1,11,0.00,35.00,65.00,0.00
18,100,1,12,0.00,41.00,59.00,0.00
18,100,1,13,0.00,44.00,56.00,0.00
18,100,1,14,0.00,34.65,65.35,0.00
18,100,1,15,0.00,46.00,54.00,0.00
18,100,1,16,0.00,47.47,52.53,0.00
18,100,1,17,0.00,44.00,56.00,0.00
18,100,1,-1,0.00,44.44,55.56,0.00
18,100,1,0,0.00,50.00,50.00,0.00
18,100,1,1,0.00,47.00,53.00,0.00
18,100,1,2,0.00,34.00,66.00,0.00
18,100,1,3,0.00,34.00,66.00,0.00
18,100,1,4,0.00,50.51,49.49,0.00
18,100,1,5,0.00,43.00,57.00,0.00
18,100,1,6,0.00,54.00,46.00,0.00
18,100,1,7,0.00,45.45,54.55,0.00
18,100,1,8,0.00,43.00,57.00,0.00
18,100,1,9,0.00,51.00,49.00,0.00
18,100,1,10,0.00,46.00,54.00,0.00
18,100,1,11,0.00,39.00,61.00,0.00
18,100,1,12,0.00,40.00,60.00,0.00
18,100,1,13,0.00,54.00,46.00,0.00
18,100,1,14,0.00,40.00,60.00,0.00
18,100,1,15,0.00,37.00,63.00,0.00
18,100,1,16,0.00,44.00,56.00,0.00
18,100,1,17,0.00,48.00,52.00,0.00
18,100,1,-1,0.00,44.42,55.58,0.00
18,100,1,0,0.00,47.47,52.53,0.00
18,100,1,1,0.00,47.00,53.00,0.00
18,100,1,2,0.00,36.00,64.00,0.00
18,100,1,3,0.00,40.00,60.00,0.00
18,100,1,4,0.00,48.00,52.00,0.00
18,100,1,5,0.00,43.00,57.00,0.00
18,100,1,6,0.00,46.00,54.00,0.00
18,100,1,7,0.00,44.55,55.45,0.00
18,100,1,8,0.00,42.00,58.00,0.00
18,100,1,9,0.00,54.46,45.54,0.00
18,100,1,10,0.00,48.00,52.00,0.00
18,100,1,11,0.00,39.00,61.00,0.00
18,100,1,12,0.00,37.00,63.00,0.00
18,100,1,13,0.00,48.00,52.00,0.00
18,100,1,14,0.00,37.37,62.63,0.00
18,100,1,15,0.00,48.00,52.00,0.00
18,100,1,16,0.00,44.55,55.45,0.00
18,100,1,17,0.00,49.00,51.00,0.00
18,100,1,-1,0.00,42.98,57.02,0.00
18,100,1,0,0.00,52.00,48.00,0.00
18,100,1,1,0.00,51.00,49.00,0.00
18,100,1,2,0.00,30.69,69.31,0.00
18,100,1,3,0.00,41.58,58.42,0.00
18,100,1,4,0.00,46.53,53.47,0.00
18,100,1,5,0.00,43.00,57.00,0.00
18,100,1,6,0.00,40.40,59.60,0.00
18,100,1,7,0.00,47.00,53.00,0.00
18,100,1,8,0.00,42.00,58.00,0.00
18,100,1,9,0.00,50.51,49.49,0.00
18,100,1,10,0.00,48.00,52.00,0.00
18,100,1,11,0.00,37.00,63.00,0.00
18,100,1,12,0.00,36.00,64.00,0.00
18,100,1,13,0.00,52.00,48.00,0.00
18,100,1,14,0.00,34.00,66.00,0.00
18,100,1,15,0.00,40.59,59.41,0.00
18,100,1,16,0.00,42.42,57.58,0.00
18,100,1,17,0.00,39.00,61.00,0.00
18,100,1,-1,0.00,45.06,54.94,0.00
18,100,1,0,0.00,51.49,48.51,0.00
18,100,1,1,0.00,54.00,46.00,0.00
18,100,1,2,0.00,36.36,63.64,0.00
18,100,1,3,0.00,38.00,62.00,0.00
18,100,1,4,0.00,51.00,49.00,0.00
18,100,1,5,0.00,40.00,60.00,0.00
18,100,1,6,0.00,49.00,51.00,0.00
18,100,1,7,0.00,45.00,55.00,0.00
18,100,1,8,0.00,41.00,59.00,0.00
18,100,1,9,0.00,53.47,46.53,0.00
18,100,1,10,0.00,49.50,50.50,0.00
18,100,1,11,0.00,34.00,66.00,0.00
18,100,1,12,0.00,37.00,63.00,0.00
18,100,1,13,0.00,51.00,49.00,0.00
18,100,1,14,0.00,39.00,61.00,0.00
18,100,1,15,0.00,47.47,52.53,0.00
18,100,1,16,0.00,45.54,54.46,0.00
18,100,1,17,0.00,48.00,52.00,0.00
18,100,1,-1,0.00,44.88,55.12,0.00
18,100,1,0,0.00,52.53,47.47,0.00
18,100,1,1,0.00,48.00,52.00,0.00
18,100,1,2,0.00,36.63,63.37,0.00
18,100,1,3,0.00,36.36,63.64,0.00
