cpu,client,node,run,min,mean,median,90th,99th,max,std
36,1,1,1,409,23951.10,1360,9000,9000,221163,65779.05
36,10,1,1,373,2120.50,1420,1500,1500,10615,2856.51
36,10,2,1,501,1171.10,1000,1500,1500,1968,446.02
36,10,3,1,482,23329.00,1400,1600,1600,222354,66342.69
36,10,4,1,1089,2429.50,1433,1500,1500,11742,3106.01
36,10,5,1,341,23201.70,1420,1500,1500,220941,65914.04
36,10,6,1,564,1123.80,1100,1500,1500,1508,341.73
36,10,7,1,599,22654.60,1400,1600,1600,215351,64232.94
36,10,8,1,409,23354.40,1450,1600,1600,223730,66793.36
36,10,9,1,451,1882.20,1000,1500,1500,9622,2609.21
36,10,10,1,440,22976.10,1425,1600,1600,219661,65562.72
36,100,1,1,315,2126.60,1400,1800,1800,10659,2881.90
36,100,2,1,523,2332.00,1100,3100,3100,11897,3269.77
36,100,3,1,424,74749.10,1700,2700,2700,734570,219941.27
36,100,4,1,490,2414.70,1200,1900,1900,13888,3850.71
36,100,5,1,608,1978.60,1450,1800,1800,7775,1961.79
36,100,6,1,475,3237.20,1500,8000,8000,14656,4330.57
36,100,7,1,610,1361.00,1100,1900,1900,2657,605.46
36,100,8,1,428,2124.00,1000,1600,1600,12034,3326.34
36,100,9,1,444,1713.40,1100,1900,1900,7210,1884.41
36,100,10,1,606,11848.70,2000,2400,2400,103831,30665.38
36,100,11,1,634,1478.80,1550,1800,1800,1828,309.61
36,100,12,1,696,2133.60,1500,1900,1900,8336,2096.87
36,100,13,1,500,3302.00,1475,7500,7500,14529,4184.92
36,100,14,1,1116,3751.20,2000,11000,11000,12442,3973.75
36,100,15,1,392,74459.20,1700,2300,2300,731003,218848.67
36,100,16,1,553,2043.00,1200,1900,1900,9390,2482.14
36,100,17,1,382,2993.30,1200,11000,11000,11225,3904.62
36,100,18,1,719,2355.40,1566,2200,2200,9872,2527.55
36,100,19,1,549,2606.80,1600,2500,2500,11822,3134.48
36,100,20,1,402,1741.70,880,2200,2200,7095,1870.17
36,100,21,1,1097,2245.60,1600,2800,2800,7848,1929.72
36,100,22,1,656,7305.60,1850,2300,2300,59255,17325.60
36,100,23,1,446,2313.00,1900,3000,3000,7854,1972.91
36,100,24,1,512,784.00,660,850,850,1759,343.20
36,100,25,1,540,29245.60,1500,66000,66000,215378,64902.31
36,100,26,1,534,3139.80,1400,11000,11000,11343,3870.30
36,100,27,1,427,3437.30,1466,11000,11000,14101,4533.52
36,100,28,1,584,2219.30,1400,2300,2300,9387,2443.52
36,100,29,1,519,4595.00,1700,16000,16000,20516,6723.82
36,100,30,1,902,2307.00,1650,2300,2300,9069,2282.58
36,100,31,1,398,2362.70,1300,2400,2400,12065,3268.25
36,100,32,1,636,1981.80,1400,2200,2200,7410,1866.46
36,100,33,1,465,81948.80,1700,270000,270000,274054,120480.38
36,100,34,1,766,24168.30,1566,11000,11000,218769,64927.95
36,100,35,1,639,3072.70,1700,8900,8900,10285,3297.58
36,100,36,1,829,3145.60,1650,9600,9600,9781,3285.51
36,100,37,1,467,2922.20,650,2300,2300,20794,5981.88
36,100,38,1,438,1480.40,1400,2100,2100,2601,623.83
36,100,39,1,354,851.10,700,1100,1100,1976,417.56
36,100,40,1,473,24203.30,1200,13000,13000,220299,65458.45
36,100,41,1,589,1290.30,1300,1900,1900,1933,477.02
36,100,42,1,470,2121.30,1300,2600,2600,8818,2344.80
36,100,43,1,574,1439.60,1400,2000,2000,2058,422.54
36,100,44,1,575,33727.00,1500,2200,2200,324440,96905.71
36,100,45,1,597,2765.70,1300,8300,8300,9740,3153.40
36,100,46,1,626,22804.90,1100,2300,2300,216198,64467.13
36,100,47,1,483,2074.10,930,1600,1600,12106,3357.90
36,100,48,1,621,132436.90,1700,270000,270000,301694,132499.67
36,100,49,1,316,1456.30,1800,2100,2100,2100,623.68
36,100,50,1,510,3508.70,1400,11000,11000,14174,4508.04
36,100,51,1,616,2841.90,1650,8000,8000,8224,2648.82
36,100,52,1,675,3946.70,1800,8700,8700,10801,3438.37
36,100,53,1,778,1685.60,1800,2300,2300,2441,498.36
36,100,54,1,665,24339.40,2200,9800,9800,218233,64678.03
36,100,55,1,907,1798.40,1700,2500,2500,2555,486.89
36,100,56,1,717,1720.10,1825,2300,2300,2479,490.90
36,100,57,1,612,26991.70,1950,23000,23000,223269,65784.86
36,100,58,1,771,4201.00,1900,11000,11000,11388,4136.66
36,100,59,1,599,24234.80,1700,9600,9600,221108,65670.69
36,100,60,1,847,26280.70,2200,13000,13000,228039,67346.53
36,100,61,1,584,2513.00,1850,2600,2600,10430,2701.09
36,100,62,1,518,4499.30,1800,13000,13000,13712,4720.41
36,100,63,1,538,2628.60,1600,3100,3100,10990,2872.41
36,100,64,1,926,2439.70,1700,3100,3100,7710,1857.42
36,100,65,1,557,65598.40,2200,220000,220000,415157,132955.95
36,100,66,1,648,3488.60,1300,9200,9200,13868,4186.20
36,100,67,1,879,2546.40,1400,2000,2000,13250,3581.03
36,100,68,1,631,2956.20,1300,4600,4600,15071,4178.49
36,100,69,1,596,9596.10,1800,12000,12000,63049,18176.08
36,100,70,1,698,3365.80,1900,4200,4200,15352,4082.56
36,100,71,1,755,1908.30,2000,2300,2300,2302,414.79
36,100,72,1,565,3373.20,1600,9400,9400,12536,3907.59
36,100,73,1,523,1785.60,1600,2666,2666,2683,685.62
36,100,74,1,627,3618.00,1800,11000,11000,13011,4112.85
36,100,75,1,509,2217.30,1550,2100,2100,9861,2590.62
36,100,76,1,683,25951.80,1900,17000,17000,223970,66181.14
36,100,77,1,944,2886.90,1700,2300,2300,13974,3719.98
36,100,78,1,905,3501.90,2000,8500,8500,12302,3558.35
36,100,79,1,1077,2400.60,1700,2200,2200,8694,2120.91
36,100,80,1,659,3003.70,2000,3600,3600,14777,4020.77
36,100,81,1,1293,3829.40,2000,11000,11000,12918,4055.91
36,100,82,1,909,35709.80,1700,14000,14000,331993,98822.21
36,100,83,1,997,8124.50,1850,15000,15000,53167,15530.23
36,100,84,1,679,25260.40,2050,13000,13000,223385,66130.54
36,100,85,1,849,23208.10,1600,2300,2300,218078,64958.08
36,100,86,1,834,2986.10,2033,2500,2500,13451,3519.91
36,100,87,1,1128,3047.30,2000,7900,7900,8177,2517.58
36,100,88,1,771,23679.40,1700,8600,8600,215651,64025.99
36,100,89,1,914,4816.80,2200,9400,9400,22814,6401.44
36,100,90,1,635,27846.00,1700,2400,2400,263598,78586.10
36,100,91,1,663,3250.80,2000,8500,8500,10909,3334.02
36,100,92,1,833,23910.80,1700,2400,2400,224966,67020.04
36,100,93,1,652,3718.80,1800,11000,11000,14415,4451.23
36,100,94,1,878,3537.30,1800,10000,10000,12461,3888.70
36,100,95,1,978,3446.00,1950,7000,7000,13100,3591.76
36,100,96,1,759,74204.30,1900,250000,250000,257364,111225.98
36,100,97,1,588,1748.60,1650,2600,2600,3264,744.47
36,100,98,1,759,31928.60,1650,82000,82000,225516,68824.82
36,100,99,1,924,24147.60,1800,7200,7200,219604,65173.41
36,100,100,1,404,13412.70,1300,35000,35000,89131,27065.64
36,30,1,1,464,74513.20,1300,1600,1600,735868,220451.97
36,30,2,1,544,22805.00,1450,2000,2000,215505,64234.16
36,30,3,1,415,1165.20,1100,1500,1500,2037,451.80
36,30,4,1,500,1845.40,1440,1900,1900,7699,2000.15
36,30,5,1,454,1057.50,980,1566,1566,1530,390.33
36,30,6,1,194,1665.50,1400,1600,1600,7282,1928.05
36,30,7,1,442,23730.00,990,8300,8300,221417,65933.60
36,30,8,1,327,942.20,920,1466,1466,1461,398.34
36,30,9,1,606,24041.50,1450,7800,7800,221720,65921.44
36,30,10,1,992,3403.30,1600,8700,8700,13222,3914.28
36,30,11,1,503,1259.90,1400,1600,1600,1907,426.57
36,30,12,1,515,22628.00,1450,1600,1600,215121,64165.37
36,30,13,1,1019,2624.10,1475,1700,1700,13216,3534.79
36,30,14,1,450,2498.20,1400,1600,1600,13818,3790.01
36,30,15,1,440,935.40,880,1500,1500,1583,399.38
36,30,16,1,474,23756.20,1350,7000,7000,221292,65868.92
36,30,17,1,691,1424.60,1440,1700,1700,1874,281.83
36,30,18,1,469,1882.90,1100,1500,1500,9517,2571.47
36,30,19,1,491,1925.60,1350,1600,1600,8612,2258.10
36,30,20,1,533,1875.40,1425,2000,2000,8725,2331.65
36,30,21,1,383,1019.10,1050,1466,1466,1473,389.77
36,30,22,1,427,2303.70,1400,1600,1600,12455,3405.02
36,30,23,1,517,2399.90,1425,1600,1600,13234,3630.03
36,30,24,1,1013,2308.30,1460,1600,1600,10376,2693.24
36,30,25,1,410,1711.40,1400,1600,1600,6921,1786.23
36,30,26,1,524,2308.60,1400,1600,1600,13301,3685.11
36,30,27,1,483,2261.50,1100,1600,1600,13221,3673.66
36,30,28,1,569,1811.70,1375,1600,1600,6871,1719.67
36,30,29,1,455,850.20,740,1400,1400,1406,342.84
36,30,30,1,298,2659.70,1440,8300,8300,8933,3001.52
36,50,1,1,566,1854.30,1300,1600,1600,7844,2017.88
36,50,2,1,378,959.50,940,1450,1450,1494,369.87
36,50,3,1,458,1683.30,990,1700,1700,7856,2099.98
36,50,4,1,561,1197.20,1100,1700,1700,1865,413.84
36,50,5,1,542,1078.70,990,1600,1600,1939,443.69
36,50,6,1,430,770.50,590,1100,1100,1568,335.83
36,50,7,1,542,1049.40,950,1950,1950,1925,509.32
36,50,8,1,1090,2332.40,1433,1500,1500,11126,2933.53
36,50,9,1,527,1753.20,1400,2000,2000,6869,1765.29
36,50,10,1,442,2319.30,1450,1900,1900,12343,3371.20
36,50,11,1,364,2057.20,1400,1600,1600,9065,2360.25
36,50,12,1,524,2277.80,1100,1500,1500,14090,3952.74
36,50,13,1,605,2048.10,1450,2000,2000,8598,2213.10
36,50,14,1,469,2008.10,590,1600,1600,12354,3472.44
36,50,15,1,546,22994.60,1420,1500,1500,219540,65516.30
36,50,16,1,676,23668.90,1375,1900,1900,224478,66936.96
36,50,17,1,534,2271.20,1400,1600,1600,13309,3703.74
36,50,18,1,421,1913.10,850,1600,1600,10996,3047.17
36,50,19,1,497,22325.30,600,1600,1600,215214,64297.48
36,50,20,1,557,1872.30,1350,1600,1600,8668,2298.21
36,50,21,1,558,2093.50,1400,1600,1600,10459,2809.25
36,50,22,1,492,954.80,970,1400,1400,1538,351.88
36,50,23,1,535,3519.70,1300,13000,13000,14655,4995.77
36,50,24,1,591,2087.70,1420,1500,1500,10358,2775.54
36,50,25,1,407,1044.10,1000,1550,1550,1510,438.81
36,50,26,1,564,2040.30,1400,1600,1600,9212,2412.83
36,50,27,1,478,2113.40,1375,1700,1700,10098,2687.93
36,50,28,1,563,1773.50,1400,1600,1600,6730,1683.95
36,50,29,1,711,23501.50,1100,1500,1500,224921,67140.38
36,50,30,1,436,22862.70,860,1500,1500,220183,65774.75
36,50,31,1,484,2533.50,1400,1600,1600,14643,4053.51
36,50,32,1,543,23151.00,1375,2000,2000,219697,65516.32
36,50,33,1,520,1775.60,1100,1600,1600,7999,2102.05
36,50,34,1,584,2136.70,1400,1600,1600,10089,2671.51
36,50,35,1,454,1747.50,1450,1600,1600,6825,1741.62
36,50,36,1,420,1039.90,960,1550,1550,1555,414.89
36,50,37,1,384,1038.80,980,1466,1466,1495,373.65
36,50,38,1,384,1132.60,1100,1550,1550,1529,384.97
36,50,39,1,501,23075.40,950,1600,1600,222292,66406.49
36,50,40,1,573,1138.30,1100,1550,1550,1535,352.37
36,50,41,1,515,1132.10,1100,1600,1600,1833,416.95
