cpu,client,node,run,data,throughput,retransmissions,congestion_window
36,1,1,1,2.91,24.4,140,4.01
36,1,1,1,2.88,24.2,128,5.34
36,1,1,1,2.88,24.2,125,2.67
36,1,1,1,2.86,24.0,97,4.01
36,1,1,1,2.88,24.2,117,4.01
36,1,1,1,2.88,24.2,100,5.34
36,1,1,1,2.88,24.2,104,4.01
36,1,1,1,2.86,24.0,112,2.67
36,1,1,1,2.88,24.2,100,5.34
36,1,1,1,2.88,24.2,119,4.01
36,1,1,1,2.83,23.7,131,4.01
36,1,1,1,2.87,24.1,135,5.34
36,1,1,1,2.88,24.1,132,4.01
36,1,1,1,2.88,24.1,105,4.01
36,1,1,1,2.87,24.1,131,4.01
36,1,1,1,2.88,24.2,110,4.01
36,1,1,1,2.88,24.1,94,4.01
36,1,1,1,2.84,23.8,128,4.01
36,1,1,1,2.90,24.3,110,4.01
36,1,1,1,2.88,24.2,118,4.01
36,1,1,1,2.84,23.8,114,4.01
36,1,1,1,2.88,24.2,93,4.01
36,1,1,1,2.86,24.0,113,4.01
36,1,1,1,2.88,24.2,122,4.01
36,1,1,1,2.88,24.2,101,4.01
36,1,1,1,2.86,24.0,112,4.01
36,1,1,1,2.88,24.2,99,4.01
36,1,1,1,2.88,24.2,110,4.01
36,1,1,1,2.84,23.8,93,5.34
36,1,1,1,2.90,24.3,80,4.01
36,1,1,1,2.84,23.8,111,5.34
36,1,1,1,2.88,24.2,100,4.01
36,1,1,1,2.88,24.2,116,2.67
36,1,1,1,2.86,24.0,106,4.01
36,1,1,1,2.88,24.2,122,4.01
36,1,1,1,2.88,24.2,101,4.01
36,1,1,1,2.88,24.2,103,5.34
36,1,1,1,2.86,24.0,105,2.67
36,1,1,1,2.88,24.2,109,5.34
36,1,1,1,2.83,23.7,115,4.01
36,1,1,1,2.87,24.1,113,4.01
36,1,1,1,2.88,24.2,119,4.01
36,1,1,1,2.88,24.1,154,5.34
36,1,1,1,2.88,24.1,108,2.67
36,1,1,1,2.87,24.1,119,4.01
36,1,1,1,2.88,24.2,101,4.01
36,1,1,1,2.88,24.1,90,5.34
36,1,1,1,2.84,23.9,88,2.67
36,1,1,1,2.90,24.3,119,4.01
36,1,1,1,2.84,23.8,116,4.01
36,1,1,1,2.88,24.2,97,4.01
36,1,1,1,2.88,24.2,96,5.34
36,1,1,1,2.86,24.0,128,4.01
36,1,1,1,2.88,24.2,143,4.01
36,1,1,1,2.84,23.8,133,4.01
36,1,1,1,2.90,24.3,105,4.01
36,1,1,1,2.84,23.8,111,4.01
36,1,1,1,2.88,24.2,122,4.01
36,1,1,1,2.88,24.2,96,2.67
36,1,1,1,2.86,24.0,124,4.01
36,1,1,1,2.88,24.2,114,4.01
36,1,1,1,2.88,24.2,106,4.01
36,1,1,1,42.8,14.8,4,6.68
36,10,1,1,2.90,24.4,84,4.01
36,10,1,1,2.88,24.2,99,4.01
36,10,1,1,2.88,24.2,110,5.34
36,10,1,1,2.88,24.2,135,4.01
36,10,1,1,2.86,24.0,107,5.34
36,10,1,1,2.88,24.2,132,6.68
36,10,1,1,2.84,23.8,95,5.34
36,10,1,1,2.88,24.1,118,4.01
36,10,1,1,2.87,24.0,115,4.01
36,10,1,1,2.88,24.2,132,5.34
36,10,1,1,2.88,24.1,108,4.01
36,10,1,1,2.86,24.0,97,5.34
36,10,1,1,2.88,24.2,104,4.01
36,10,1,1,2.84,23.8,130,2.67
36,10,1,1,2.88,24.2,112,4.01
36,10,1,1,2.90,24.3,110,4.01
36,10,1,1,2.84,23.8,114,4.01
36,10,1,1,2.88,24.2,103,4.01
36,10,1,1,2.88,24.2,80,6.68
36,10,1,1,2.86,24.0,119,4.01
36,10,1,1,2.88,24.2,128,4.01
36,10,1,1,2.88,24.2,102,4.01
36,10,1,1,2.84,23.8,134,5.34
36,10,1,1,2.90,24.3,98,4.01
36,10,1,1,2.84,23.8,103,4.01
36,10,1,1,2.88,24.2,111,4.01
36,10,1,1,2.88,24.2,111,2.67
36,10,1,1,2.86,24.0,89,5.34
36,10,1,1,2.88,24.2,96,4.01
36,10,1,1,2.88,24.2,131,4.01
36,10,1,1,2.86,24.0,94,4.01
36,10,1,1,2.84,23.9,84,5.34
36,10,1,1,2.87,24.1,102,4.01
36,10,1,1,2.88,24.1,107,4.01
36,10,1,1,2.87,24.0,126,4.01
36,10,1,1,2.88,24.2,136,4.01
36,10,1,1,2.88,24.2,117,4.01
36,10,1,1,2.88,24.1,99,4.01
36,10,1,1,2.88,24.1,118,4.01
36,10,1,1,2.87,24.1,108,4.01
36,10,1,1,2.88,24.1,114,4.01
36,10,1,1,2.86,24.0,102,5.34
36,10,1,1,2.84,23.8,130,4.01
36,10,1,1,2.88,24.2,125,5.34
36,10,1,1,2.88,24.2,125,4.01
36,10,1,1,2.86,24.0,86,4.01
36,10,1,1,2.88,24.2,98,4.01
36,10,1,1,2.88,24.2,106,4.01
36,10,1,1,2.84,23.8,137,5.34
36,10,1,1,2.90,24.3,121,4.01
36,10,1,1,2.84,23.8,122,4.01
36,10,1,1,2.88,24.2,125,4.01
36,10,1,1,2.88,24.2,93,4.01
36,10,1,1,2.86,24.0,103,4.01
36,10,1,1,2.88,24.2,90,4.01
36,10,1,1,2.84,23.8,99,4.01
36,10,1,1,2.88,24.1,122,4.01
36,10,1,1,2.87,24.1,112,5.34
36,10,1,1,2.88,24.2,124,4.01
36,10,1,1,2.88,24.1,115,4.01
36,10,1,1,2.86,24.0,86,4.01
36,10,1,1,2.88,24.2,106,5.34
36,10,1,1,128,20.5,15,4.01
36,10,2,1,2.95,24.7,136,4.01
36,10,2,1,2.84,23.8,109,4.01
36,10,2,1,2.84,23.8,94,4.01
36,10,2,1,2.88,24.1,106,4.01
36,10,2,1,2.87,24.0,101,4.01
36,10,2,1,2.84,23.8,120,5.34
36,10,2,1,2.88,24.2,96,4.01
36,10,2,1,2.84,23.8,127,4.01
36,10,2,1,2.86,24.0,105,4.01
36,10,2,1,2.88,24.2,137,4.01
36,10,2,1,2.84,23.8,120,5.34
36,10,2,1,2.88,24.1,129,4.01
36,10,2,1,2.87,24.1,121,4.01
36,10,2,1,2.88,24.2,90,4.01
36,10,2,1,2.88,24.1,106,4.01
36,10,2,1,2.84,23.9,93,4.01
36,10,2,1,2.90,24.3,84,4.01
36,10,2,1,2.84,23.8,119,4.01
36,10,2,1,2.88,24.2,85,4.01
36,10,2,1,2.86,24.0,108,4.01
36,10,2,1,2.88,24.2,95,4.01
36,10,2,1,2.88,24.2,126,4.01
36,10,2,1,2.86,24.0,72,4.01
36,10,2,1,2.84,23.8,128,4.01
36,10,2,1,2.88,24.2,84,5.34
36,10,2,1,2.88,24.2,107,4.01
36,10,2,1,2.83,23.7,98,2.67
36,10,2,1,2.88,24.1,94,4.01
36,10,2,1,2.87,24.1,104,5.34
36,10,2,1,2.88,24.1,104,5.34
36,10,2,1,2.86,24.0,121,5.34
36,10,2,1,2.88,24.2,98,4.01
36,10,2,1,2.88,24.2,136,5.34
36,10,2,1,2.88,24.1,102,5.34
36,10,2,1,2.82,23.7,107,4.01
36,10,2,1,2.88,24.2,109,4.01
36,10,2,1,2.88,24.2,128,4.01
36,10,2,1,2.86,24.0,110,4.01
36,10,2,1,2.88,24.2,135,4.01
36,10,2,1,2.88,24.2,115,4.01
36,10,2,1,2.88,24.2,110,4.01
36,10,2,1,2.86,24.0,116,4.01
36,10,2,1,2.88,24.2,120,4.01
36,10,2,1,2.84,23.8,118,4.01
36,10,2,1,2.88,24.2,111,4.01
36,10,2,1,2.86,24.0,98,4.01
36,10,2,1,2.88,24.2,110,9.35
36,10,2,1,2.84,23.8,169,4.01
36,10,2,1,2.84,23.8,127,4.01
36,10,2,1,2.86,24.0,92,5.34
36,10,2,1,2.88,24.2,125,4.01
36,10,2,1,2.84,23.8,104,4.01
36,10,2,1,2.86,24.0,125,4.01
36,10,2,1,2.85,23.9,130,4.01
36,10,2,1,2.87,24.1,118,4.01
36,10,2,1,2.88,24.1,97,4.01
36,10,2,1,2.86,24.0,119,4.01
36,10,2,1,2.88,24.2,78,4.01
36,10,2,1,2.84,23.8,96,4.01
36,10,2,1,2.88,24.2,131,4.01
36,10,2,1,2.90,24.3,90,4.01
36,10,2,1,2.84,23.8,118,4.01
36,10,2,1,128,22.0,2,4.01
36,10,3,1,2.92,24.5,107,4.01
36,10,3,1,2.86,24.0,95,4.01
36,10,3,1,2.88,24.2,143,5.34
36,10,3,1,2.88,24.2,103,5.34
36,10,3,1,2.88,24.2,149,4.01
36,10,3,1,2.86,24.0,111,4.01
36,10,3,1,2.85,23.9,108,4.01
36,10,3,1,2.87,24.1,102,6.68
36,10,3,1,2.88,24.1,116,4.01
36,10,3,1,2.86,24.0,117,8.02
36,10,3,1,2.88,24.2,101,5.34
36,10,3,1,2.88,24.2,115,4.01
36,10,3,1,2.84,23.8,112,4.01
36,10,3,1,2.90,24.3,113,4.01
36,10,3,1,2.84,23.8,106,5.34
36,10,3,1,2.88,24.2,104,5.34
36,10,3,1,2.86,24.0,112,4.01
36,10,3,1,2.88,24.2,102,5.34
36,10,3,1,2.88,24.2,106,2.67
36,10,3,1,2.88,24.2,110,5.34
36,10,3,1,2.84,23.8,140,5.34
36,10,3,1,2.90,24.3,107,6.68
36,10,3,1,2.84,23.8,113,4.01
36,10,3,1,2.88,24.2,117,2.67
36,10,3,1,2.86,24.0,90,4.01
36,10,3,1,2.88,24.2,114,4.01
36,10,3,1,2.84,23.8,123,4.01
36,10,3,1,2.88,24.1,113,4.01
36,10,3,1,2.87,24.0,132,4.01
36,10,3,1,2.88,24.2,127,4.01
36,10,3,1,2.88,24.1,117,4.01
36,10,3,1,2.86,24.0,134,4.01
36,10,3,1,2.88,24.2,97,4.01
36,10,3,1,2.84,23.8,97,4.01
36,10,3,1,2.88,24.2,94,5.34
36,10,3,1,2.86,24.0,113,4.01
36,10,3,1,2.88,24.2,118,8.02
36,10,3,1,2.88,24.2,131,4.01
36,10,3,1,2.88,24.2,108,5.34
36,10,3,1,2.86,24.0,97,4.01
36,10,3,1,2.88,24.2,107,4.01
36,10,3,1,2.84,23.8,97,4.01
36,10,3,1,2.90,24.3,133,2.67
36,10,3,1,2.84,23.8,112,2.67
36,10,3,1,2.88,24.2,116,4.01
36,10,3,1,2.88,24.2,116,5.34
36,10,3,1,2.86,24.0,110,5.34
36,10,3,1,2.88,24.2,126,4.01
36,10,3,1,2.88,24.2,113,2.67
36,10,3,1,2.88,24.2,98,4.01
36,10,3,1,2.86,24.0,120,4.01
36,10,3,1,2.84,23.9,118,6.68
36,10,3,1,2.88,24.1,97,5.34
36,10,3,1,2.88,24.1,129,2.67
36,10,3,1,2.87,24.0,113,4.01
36,10,3,1,2.88,24.2,117,4.01
36,10,3,1,2.88,24.1,108,5.34
36,10,3,1,2.86,24.0,92,4.01
36,10,3,1,2.84,23.8,134,4.01
36,10,3,1,2.88,24.2,95,6.68
36,10,3,1,2.88,24.2,128,4.01
36,10,3,1,2.88,24.2,102,4.01
36,10,3,1,107,19.0,5,4.01
36,10,4,1,2.92,24.5,146,8.02
36,10,4,1,2.88,24.2,100,4.01
36,10,4,1,2.86,24.0,90,4.01
36,10,4,1,2.88,24.2,131,4.01
36,10,4,1,2.88,24.2,100,4.01
36,10,4,1,2.88,24.2,106,4.01
36,10,4,1,2.83,23.7,146,4.01
36,10,4,1,2.87,24.1,117,4.01
36,10,4,1,2.88,24.1,129,4.01
36,10,4,1,2.86,24.0,115,4.01
36,10,4,1,2.88,24.2,137,4.01
36,10,4,1,2.88,24.2,121,4.01
36,10,4,1,2.88,24.1,128,4.01
36,10,4,1,2.86,24.0,103,4.01
36,10,4,1,2.88,24.2,101,4.01
36,10,4,1,2.84,23.8,110,4.01
36,10,4,1,2.88,24.2,139,2.67
36,10,4,1,2.86,24.0,126,4.01
