cpu,client,run,iface,rxpck/s,txpck/s,rxkB/s,txkB/s
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,1.00,0.00,0.06,0.00
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,0.00,0.00,0.00,0.00
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,1.00,0.00,0.06,0.00
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,0.00,0.00,0.00,0.00
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,2356.00,2354.00,1909.54,1890.23
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,1395.00,964.00,1708.05,169.80
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,32019.00,32014.00,29671.06,29321.76
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,19913.00,12108.00,27959.38,1220.04
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35275.00,35276.00,32974.64,32588.79
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21986.00,13288.00,31175.46,1253.25
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35171.00,35170.00,32962.81,32571.14
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21985.00,13185.00,31174.04,1242.77
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35187.00,35186.00,32980.18,32588.97
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21998.00,13188.00,31192.48,1242.27
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35163.00,35165.00,32968.98,32576.57
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21990.00,13172.00,31181.13,1241.55
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35259.00,35256.00,32985.31,32594.41
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21997.00,13226.00,31191.06,1246.95
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35166.00,35165.00,32978.74,32585.33
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21997.00,13168.00,31191.06,1240.84
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35170.00,35170.00,32966.71,32576.05
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21988.00,13181.00,31178.30,1242.23
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35139.00,35138.00,32973.74,32579.02
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21995.00,13143.00,31188.22,1238.36
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35171.00,35169.00,32962.83,32570.57
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21985.00,13184.00,31174.04,1242.23
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35255.00,35250.00,32985.82,32592.87
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21994.00,13255.00,31186.80,1248.95
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35423.00,35425.00,33017.02,32639.43
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22011.00,13414.00,31210.91,1265.25
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35363.00,35364.00,33003.89,32622.18
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22004.00,13360.00,31200.98,1260.02
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35041.00,35039.00,32928.57,32531.26
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21968.00,13071.00,31149.94,1231.36
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35284.00,35282.00,32990.46,32603.19
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21998.00,13284.00,31192.48,1252.55
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35164.00,35160.00,32980.74,32585.10
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21998.00,13162.00,31192.48,1240.80
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35098.00,35095.00,32970.92,32573.30
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21995.00,13100.00,31188.22,1234.41
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35188.00,35187.00,32985.05,32594.01
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22000.00,13186.00,31195.31,1243.19
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35162.00,35158.00,32990.02,32594.48
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22005.00,13153.00,31202.40,1239.41
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35211.00,35207.00,32975.05,32582.71
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21991.00,13217.00,31182.55,1246.02
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35248.00,35245.00,32989.64,32600.91
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21999.00,13245.00,31193.89,1249.06
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35185.00,35183.00,32982.57,32589.44
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21998.00,13185.00,31192.48,1242.86
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35141.00,35138.00,32962.48,32568.19
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21986.00,13152.00,31175.46,1239.77
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35187.00,35184.00,32970.84,32578.39
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21989.00,13194.00,31179.71,1243.98
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35166.00,35164.00,32983.10,32587.68
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21999.00,13165.00,31193.89,1240.52
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35113.00,35112.00,32965.81,32570.64
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,21991.00,13119.00,31182.55,1236.45
36,1,1,lo,0.00,0.00,0.00,0.00
36,1,1,eno1,35246.00,35243.00,32991.83,32601.84
36,1,1,eno2,0.00,0.00,0.00,0.00
36,1,1,wg,22001.00,13242.00,31196.73,1248.72
36,1,1,lo,0.00,0.00,0.00,0.00
