cpu,client,node,run,min,mean,median,90th,99th,max,std
36,1,1,1,344,1070.60,980,1500,1500,1541,376.39
36,10,1,1,467,1114.10,1350,1475,1475,1454,385.32
36,10,2,1,406,1104.50,1100,1480,1480,1468,393.19
36,10,3,1,324,1188.60,1420,1500,1500,1582,415.85
36,10,4,1,325,2517.10,1400,1500,1500,15124,4219.22
36,10,5,1,466,1109.20,1100,1500,1500,1507,368.24
36,10,6,1,476,1993.10,1400,1600,1600,9636,2571.12
36,10,7,1,414,2056.60,1100,1500,1500,11223,3078.57
36,10,8,1,493,74233.70,1425,1600,1600,731706,219157.74
36,10,9,1,290,2005.80,1442,1500,1500,9127,2407.43
36,10,10,1,440,1021.60,960,1475,1475,1485,398.09
36,100,1,1,437,1026.40,980,1475,1475,1470,396.16
36,100,2,1,392,23702.00,1425,1600,1600,226480,67593.74
36,100,3,1,371,22894.70,1400,1600,1600,219644,65584.78
36,100,4,1,508,23580.60,1440,1600,1600,225046,67156.08
36,100,5,1,384,2059.10,1333,1600,1600,10614,2876.77
36,100,6,1,488,939.60,970,1466,1466,1462,389.77
36,100,7,1,356,839.80,580,1500,1500,1524,376.62
36,100,8,1,438,1022.60,1100,1500,1500,1502,376.89
36,100,9,1,320,2098.50,1420,1500,1500,10162,2718.00
36,100,10,1,438,931.30,965,1466,1466,1454,391.29
36,100,11,1,427,1924.10,1433,1500,1500,8755,2308.15
36,100,12,1,337,2097.90,1433,1500,1500,10158,2713.70
36,100,13,1,408,837.40,630,1450,1450,1464,367.81
36,100,14,1,466,160745.10,11000,280000,280000,749618,228456.83
36,100,15,1,284,22559.90,1400,1600,1600,216429,64624.66
36,100,16,1,298,829.90,580,1500,1500,1539,391.22
36,100,17,1,385,23073.20,1433,1900,1900,219632,65520.94
36,100,18,1,334,2384.60,1433,1500,1500,13261,3646.79
36,100,19,1,305,925.00,980,1466,1466,1457,405.32
36,100,20,1,474,1020.80,1050,1450,1450,1489,382.58
36,100,21,1,295,1009.30,980,1475,1475,1461,411.30
36,100,22,1,262,2005.30,1433,1500,1500,9233,2443.50
36,100,23,1,278,2094.30,1400,1600,1600,10586,2860.49
36,100,24,1,368,1016.90,950,1550,1550,1562,409.17
36,100,25,1,469,766.40,550,1000,1000,1541,332.46
36,100,26,1,291,1961.10,1420,1500,1500,9665,2597.83
36,100,27,1,519,1057.20,990,1500,1500,1591,373.09
36,100,28,1,511,1032.50,1100,1466,1466,1484,378.05
36,100,29,1,322,22747.00,1420,1500,1500,216568,64608.31
36,100,30,1,423,2437.70,1400,1600,1600,13324,3648.69
36,100,31,1,366,1102.60,1100,1475,1475,1499,397.15
36,100,32,1,348,22656.20,1420,1500,1500,215696,64347.84
36,100,33,1,289,834.50,600,1450,1450,1477,379.77
36,100,34,1,353,1102.90,1100,1475,1475,1495,401.68
36,100,35,1,350,2526.30,1400,1600,1600,14732,4090.39
36,100,36,1,448,936.60,970,1500,1500,1517,375.70
36,100,37,1,435,933.50,920,1366,1366,1391,363.34
36,100,38,1,375,938.90,960,1450,1450,1497,390.84
36,100,39,1,294,935.10,900,1500,1500,1581,421.19
36,100,40,1,312,746.70,570,1000,1000,1474,330.51
36,100,41,1,350,1010.60,986,1475,1475,1485,412.83
36,100,42,1,505,1022.30,980,1475,1475,1486,384.55
36,100,43,1,370,2062.90,1400,1600,1600,10073,2692.64
36,100,44,1,403,2227.10,1200,1500,1500,13346,3729.00
36,100,45,1,380,22942.90,1300,1600,1600,219748,65602.96
